Warning: Permanently added '[osu-bw-multinode-2-worker-0.osu-bw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-bw-multinode-2-worker-1.osu-bw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
4096                  472.17
8192                  709.34
16384                 878.92
32768                 816.32
65536                 983.00
131072               1533.02
262144               1747.87
524288               1813.44
1048576              1853.23
2097152              1875.26
4194304              1881.90
Warning: Permanently added '[osu-bw-multinode-2-worker-0.osu-bw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-bw-multinode-2-worker-1.osu-bw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.30
2                       0.57
4                       1.22
8                       2.43
16                      4.70
32                      8.82
64                     16.59
128                    33.36
256                    60.47
512                   108.63
1024                  184.89
2048                  275.54
4096                  453.27
8192                  692.34
16384                 878.58
32768                 811.15
65536                1003.61
131072               1498.18
262144               1732.25
524288               1731.30
1048576              1658.90
2097152              1661.80
4194304              1660.74
Warning: Permanently added '[osu-bw-multinode-2-worker-1.osu-bw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-bw-multinode-2-worker-0.osu-bw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.30
2                       0.63
4                       1.24
8                       2.41
16                      4.62
32                      8.77
64                     16.48
128                    32.37
256                    62.75
512                   110.65
1024                  184.33
2048                  263.93
4096                  482.73
8192                  662.35
16384                 834.27
32768                 884.85
65536                 983.89
131072               1482.98
262144               1752.06
524288               1815.11
1048576              1858.70
2097152              1872.76
4194304              1879.79
Warning: Permanently added '[osu-bw-multinode-2-worker-0.osu-bw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-bw-multinode-2-worker-1.osu-bw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.33
2                       0.65
4                       1.31
8                       2.58
16                      5.11
32                      9.36
64                     18.79
128                    34.47
256                    69.60
512                   127.19
1024                  244.25
2048                  428.67
4096                  728.29
