Warning: Permanently added '[osu-latency-multinode-2-worker-0.osu-latency-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latency-multinode-2-worker-1.osu-latency-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
4194304              6456.42
Warning: Permanently added '[osu-latency-multinode-2-worker-1.osu-latency-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latency-multinode-2-worker-0.osu-latency-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      38.07
2                      38.17
4                      38.20
8                      38.32
16                     38.27
32                     38.23
64                     38.79
128                    38.89
256                    38.99
512                    39.20
1024                   41.15
2048                   79.76
4096                   74.25
8192                   78.97
16384                  85.62
32768                 122.69
65536                 279.90
131072                397.38
262144                602.36
524288                957.51
1048576              1738.64
2097152              3280.19
4194304              6432.03
Warning: Permanently added '[osu-latency-multinode-2-worker-1.osu-latency-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latency-multinode-2-worker-0.osu-latency-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      38.66
2                      38.54
4                      38.47
8                      38.48
16                     38.48
32                     38.49
64                     39.17
128                    39.16
256                    39.26
512                    39.55
1024                   41.56
2048                   79.20
4096                   73.74
8192                   77.66
16384                  84.14
32768                 122.29
65536                 276.49
131072                393.84
262144                597.85
524288                952.65
1048576              1734.98
2097152              3284.33
4194304              6449.57
Warning: Permanently added '[osu-latency-multinode-2-worker-0.osu-latency-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latency-multinode-2-worker-1.osu-latency-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      38.07
2                      37.99
4                      38.00
8                      38.02
16                     38.08
32                     38.12
64                     38.58
128                    38.64
256                    38.80
512                    39.19
1024                   41.11
2048                   79.66
4096                   73.86
8192                   77.68
16384                  85.13
32768                 122.49
65536                 280.16
131072                396.18
262144                602.76
524288                956.04
1048576              1734.60
2097152              3287.60
4194304              6440.57
Warning: Permanently added '[osu-latency-multinode-2-worker-0.osu-latency-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latency-multinode-2-worker-1.osu-latency-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      38.10
2                      38.20
4                      35.40
8                      37.89
16                     38.00
32                     35.76
64                     38.48
128                    38.40
256                    39.25
512                    39.19
1024                   41.07
2048                   79.38
4096                   73.82
8192                   77.31
16384                  84.95
32768                 121.58
65536                 282.44
131072                399.19
262144                604.38
524288                957.98
1048576              1735.61
2097152              3287.80
4194304              6460.23
Warning: Permanently added '[osu-latency-multinode-2-worker-1.osu-latency-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latency-multinode-2-worker-0.osu-latency-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      38.01
2                      31.94
4                      31.93
8                      31.93
16                     31.91
32                     31.89
64                     32.43
128                    38.56
256                    38.79
512                    39.07
1024                   41.29
2048                   79.42
4096                   73.66
8192                   76.55
16384                  84.91
32768                 121.67
65536                 279.87
131072                396.55
262144                602.12
524288                955.45
1048576              1733.69
2097152              3291.18
4194304              6450.19
Warning: Permanently added '[osu-latency-multinode-2-worker-0.osu-latency-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latency-multinode-2-worker-1.osu-latency-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      38.27
2                      38.27
4                      38.26
8                      38.30
16                     38.29
32                     38.34
64                     38.86
128                    38.90
256                    39.02
512                    39.27
1024                   41.22
2048                   79.76
4096                   75.15
8192                   79.54
16384                  86.30
32768                 121.53
65536                 280.68
131072                395.92
262144                598.85
524288                956.50
1048576              1736.85
2097152              3292.43
4194304              6446.10
Warning: Permanently added '[osu-latency-multinode-2-worker-0.osu-latency-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latency-multinode-2-worker-1.osu-latency-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      32.01
2                      31.83
4                      31.79
8                      31.81
16                     31.86
32                     31.87
64                     32.30
128                    32.47
256                    32.49
512                    32.68
1024                   33.96
2048                   56.05
4096                   55.93
8192                   59.66
16384                  66.73
32768                  94.90
65536                 227.30
131072                300.39
262144                389.30
524288                591.55
1048576              1325.06
2097152              2466.33
4194304              4924.57
Warning: Permanently added '[osu-latency-multinode-2-worker-1.osu-latency-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latency-multinode-2-worker-0.osu-latency-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      35.82
2                      31.51
4                      29.31
8                      26.03
16                     26.02
32                     26.07
64                     26.31
128                    26.36
256                    26.47
512                    26.74
1024                   27.89
2048                   63.41
4096                   66.13
8192                   71.84
16384                  83.06
32768                 117.95
65536                 280.56
131072                378.85
262144                574.91
524288                951.53
1048576              1740.84
2097152              3301.37
4194304              6469.84
Warning: Permanently added '[osu-latency-multinode-2-worker-1.osu-latency-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latency-multinode-2-worker-0.osu-latency-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      38.24
2                      38.29
4                      38.26
8                      38.26
16                     38.27
32                     38.30
64                     38.77
128                    38.81
256                    38.91
512                    39.18
1024                   41.14
2048                   64.60
4096                   66.59
8192                   72.57
16384                  83.85
32768                 118.01
65536                 284.82
131072                383.19
262144                577.69
524288                956.46
1048576              1740.36
2097152              3296.00
4194304              6468.15
Warning: Permanently added '[osu-latency-multinode-2-worker-0.osu-latency-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latency-multinode-2-worker-1.osu-latency-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      38.33
2                      38.09
4                      38.13
8                      38.15
16                     38.12
32                     38.13
64                     38.78
128                    38.80
256                    38.89
512                    39.17
1024                   41.14
2048                   79.41
4096                   73.95
8192                   78.79
16384                  85.49
32768                 122.37
65536                 280.51
131072                396.67
262144                602.89
524288                952.85
1048576              1729.62
2097152              3280.22
4194304              6448.38
Warning: Permanently added '[osu-latency-multinode-2-worker-0.osu-latency-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latency-multinode-2-worker-1.osu-latency-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      31.61
2                      31.59
4                      30.72
8                      27.88
16                     27.89
32                     27.86
