Size,Measure,CNI,Nodes,Benchmark
2097152,932.67,calico,1,latency_mp
4194304,1969.11,calico,1,latency_mp
1,35.2,calico,1,latency_mp
2,35.22,calico,1,latency_mp
4,35.19,calico,1,latency_mp
8,35.22,calico,1,latency_mp
16,35.27,calico,1,latency_mp
32,35.24,calico,1,latency_mp
64,35.18,calico,1,latency_mp
128,35.21,calico,1,latency_mp
256,35.22,calico,1,latency_mp
512,25.38,calico,1,latency_mp
1024,25.44,calico,1,latency_mp
2048,25.49,calico,1,latency_mp
4096,27.64,calico,1,latency_mp
8192,28.26,calico,1,latency_mp
16384,39.18,calico,1,latency_mp
32768,59.01,calico,1,latency_mp
65536,156.2,calico,1,latency_mp
131072,170.85,calico,1,latency_mp
262144,250.8,calico,1,latency_mp
524288,311.61,calico,1,latency_mp
1048576,519.44,calico,1,latency_mp
2097152,929.53,calico,1,latency_mp
4194304,1973.82,calico,1,latency_mp
1,35.09,calico,1,latency_mp
2,35.27,calico,1,latency_mp
4,35.09,calico,1,latency_mp
8,35.53,calico,1,latency_mp
16,35.13,calico,1,latency_mp
32,35.08,calico,1,latency_mp
64,35.13,calico,1,latency_mp
128,35.11,calico,1,latency_mp
256,35.16,calico,1,latency_mp
512,25.45,calico,1,latency_mp
1024,25.47,calico,1,latency_mp
2048,25.41,calico,1,latency_mp
4096,27.41,calico,1,latency_mp
8192,37.12,calico,1,latency_mp
16384,38.94,calico,1,latency_mp
32768,46.59,calico,1,latency_mp
65536,155.96,calico,1,latency_mp
131072,181.6,calico,1,latency_mp
262144,251.06,calico,1,latency_mp
524288,309.85,calico,1,latency_mp
1048576,527.19,calico,1,latency_mp
2097152,935.01,calico,1,latency_mp
4194304,1967.92,calico,1,latency_mp
1,35.36,calico,1,latency_mp
2,35.36,calico,1,latency_mp
4,35.32,calico,1,latency_mp
8,35.39,calico,1,latency_mp
16,35.44,calico,1,latency_mp
32,35.37,calico,1,latency_mp
64,35.32,calico,1,latency_mp
128,35.31,calico,1,latency_mp
256,35.34,calico,1,latency_mp
512,25.47,calico,1,latency_mp
1024,25.53,calico,1,latency_mp
2048,25.45,calico,1,latency_mp
4096,27.5,calico,1,latency_mp
8192,28.05,calico,1,latency_mp
16384,39.12,calico,1,latency_mp
32768,59.0,calico,1,latency_mp
65536,156.25,calico,1,latency_mp
131072,173.12,calico,1,latency_mp
262144,252.72,calico,1,latency_mp
524288,315.14,calico,1,latency_mp
1048576,518.3,calico,1,latency_mp
2097152,927.41,calico,1,latency_mp
4194304,1969.95,calico,1,latency_mp
1,35.31,calico,1,latency_mp
2,35.47,calico,1,latency_mp
4,35.27,calico,1,latency_mp
8,35.29,calico,1,latency_mp
16,35.3,calico,1,latency_mp
32,35.29,calico,1,latency_mp
64,35.26,calico,1,latency_mp
128,35.24,calico,1,latency_mp
256,35.27,calico,1,latency_mp
512,25.6,calico,1,latency_mp
1024,25.49,calico,1,latency_mp
2048,25.46,calico,1,latency_mp
4096,27.42,calico,1,latency_mp
8192,27.98,calico,1,latency_mp
16384,38.95,calico,1,latency_mp
32768,47.05,calico,1,latency_mp
65536,155.65,calico,1,latency_mp
131072,172.1,calico,1,latency_mp
262144,251.19,calico,1,latency_mp
524288,308.87,calico,1,latency_mp
1048576,518.26,calico,1,latency_mp
2097152,931.99,calico,1,latency_mp
4194304,1970.33,calico,1,latency_mp
1,35.47,calico,1,latency_mp
2,35.42,calico,1,latency_mp
4,35.41,calico,1,latency_mp
8,35.45,calico,1,latency_mp
16,35.48,calico,1,latency_mp
32,35.46,calico,1,latency_mp
64,35.43,calico,1,latency_mp
128,35.41,calico,1,latency_mp
256,35.45,calico,1,latency_mp
512,25.45,calico,1,latency_mp
1024,25.52,calico,1,latency_mp
2048,25.57,calico,1,latency_mp
4096,27.3,calico,1,latency_mp
8192,37.06,calico,1,latency_mp
16384,39.0,calico,1,latency_mp
32768,46.86,calico,1,latency_mp
65536,156.11,calico,1,latency_mp
131072,172.52,calico,1,latency_mp
262144,250.83,calico,1,latency_mp
524288,308.32,calico,1,latency_mp
1048576,527.05,calico,1,latency_mp
2097152,931.6,calico,1,latency_mp
4194304,1967.95,calico,1,latency_mp
1,35.22,calico,1,latency_mp
2,35.21,calico,1,latency_mp
4,35.22,calico,1,latency_mp
8,35.26,calico,1,latency_mp
16,35.29,calico,1,latency_mp
32,35.3,calico,1,latency_mp
64,35.22,calico,1,latency_mp
128,35.22,calico,1,latency_mp
256,35.25,calico,1,latency_mp
512,25.41,calico,1,latency_mp
1024,25.49,calico,1,latency_mp
2048,25.37,calico,1,latency_mp
4096,27.49,calico,1,latency_mp
8192,28.13,calico,1,latency_mp
16384,39.17,calico,1,latency_mp
32768,58.68,calico,1,latency_mp
65536,155.65,calico,1,latency_mp
131072,171.68,calico,1,latency_mp
262144,248.92,calico,1,latency_mp
524288,310.77,calico,1,latency_mp
1048576,528.33,calico,1,latency_mp
2097152,938.2,calico,1,latency_mp
4194304,1965.95,calico,1,latency_mp
1,35.31,calico,1,latency_mp
2,35.33,calico,1,latency_mp
4,35.34,calico,1,latency_mp
8,35.35,calico,1,latency_mp
16,35.37,calico,1,latency_mp
32,35.36,calico,1,latency_mp
64,35.34,calico,1,latency_mp
128,35.34,calico,1,latency_mp
256,35.33,calico,1,latency_mp
512,25.39,calico,1,latency_mp
1024,25.48,calico,1,latency_mp
2048,25.48,calico,1,latency_mp
4096,27.44,calico,1,latency_mp
8192,37.63,calico,1,latency_mp
16384,39.39,calico,1,latency_mp
32768,47.23,calico,1,latency_mp
65536,156.94,calico,1,latency_mp
131072,181.0,calico,1,latency_mp
262144,216.77,calico,1,latency_mp
524288,316.59,calico,1,latency_mp
1048576,518.99,calico,1,latency_mp
2097152,927.47,calico,1,latency_mp
4194304,1972.22,calico,1,latency_mp
1,35.33,calico,1,latency_mp
2,35.53,calico,1,latency_mp
4,35.38,calico,1,latency_mp
8,35.34,calico,1,latency_mp
16,35.38,calico,1,latency_mp
32,35.37,calico,1,latency_mp
64,35.32,calico,1,latency_mp
128,35.31,calico,1,latency_mp
256,35.32,calico,1,latency_mp
512,25.38,calico,1,latency_mp
1024,25.68,calico,1,latency_mp
2048,25.58,calico,1,latency_mp
4096,27.58,calico,1,latency_mp
8192,37.18,calico,1,latency_mp
16384,39.31,calico,1,latency_mp
32768,46.94,calico,1,latency_mp
65536,155.79,calico,1,latency_mp
131072,170.69,calico,1,latency_mp
262144,250.72,calico,1,latency_mp
524288,311.55,calico,1,latency_mp
1048576,528.46,calico,1,latency_mp
2097152,936.63,calico,1,latency_mp
4194304,1966.41,calico,1,latency_mp
1,35.42,calico,1,latency_mp
2,35.38,calico,1,latency_mp
4,35.41,calico,1,latency_mp
8,35.44,calico,1,latency_mp
16,35.5,calico,1,latency_mp
32,35.46,calico,1,latency_mp
64,35.39,calico,1,latency_mp
128,35.41,calico,1,latency_mp
256,35.39,calico,1,latency_mp
512,25.38,calico,1,latency_mp
1024,25.46,calico,1,latency_mp
2048,25.56,calico,1,latency_mp
4096,27.42,calico,1,latency_mp
8192,37.08,calico,1,latency_mp
16384,39.05,calico,1,latency_mp
32768,46.88,calico,1,latency_mp
65536,156.43,calico,1,latency_mp
131072,174.18,calico,1,latency_mp
262144,252.2,calico,1,latency_mp
524288,311.05,calico,1,latency_mp
1048576,519.45,calico,1,latency_mp
2097152,929.28,calico,1,latency_mp
4194304,1975.98,calico,1,latency_mp
1,35.26,calico,1,latency_mp
2,35.45,calico,1,latency_mp
4,35.27,calico,1,latency_mp
8,35.29,calico,1,latency_mp
16,35.31,calico,1,latency_mp
32,35.27,calico,1,latency_mp
64,35.3,calico,1,latency_mp
128,35.3,calico,1,latency_mp
256,35.31,calico,1,latency_mp
512,25.35,calico,1,latency_mp
1024,25.4,calico,1,latency_mp
2048,25.45,calico,1,latency_mp
4096,27.57,calico,1,latency_mp
8192,28.11,calico,1,latency_mp
16384,39.01,calico,1,latency_mp
32768,46.85,calico,1,latency_mp
65536,156.41,calico,1,latency_mp
131072,181.89,calico,1,latency_mp
262144,250.64,calico,1,latency_mp
524288,382.87,calico,1,latency_mp
1048576,518.02,calico,1,latency_mp
2097152,921.71,calico,1,latency_mp
4194304,1965.97,calico,1,latency_mp
1,39.51,calico,1,multi-latency
2,39.55,calico,1,multi-latency
4,39.49,calico,1,multi-latency
8,39.5,calico,1,multi-latency
16,39.5,calico,1,multi-latency
32,39.56,calico,1,multi-latency
64,40.03,calico,1,multi-latency
128,39.52,calico,1,multi-latency
256,39.6,calico,1,multi-latency
512,28.47,calico,1,multi-latency
1024,28.36,calico,1,multi-latency
2048,28.81,calico,1,multi-latency
4096,30.75,calico,1,multi-latency
8192,31.24,calico,1,multi-latency
16384,43.57,calico,1,multi-latency
32768,65.29,calico,1,multi-latency
65536,174.88,calico,1,multi-latency
131072,198.33,calico,1,multi-latency
262144,284.29,calico,1,multi-latency
524288,349.13,calico,1,multi-latency
1048576,571.17,calico,1,multi-latency
2097152,1014.52,calico,1,multi-latency
4194304,2137.86,calico,1,multi-latency
1,39.17,calico,1,multi-latency
2,39.18,calico,1,multi-latency
4,39.2,calico,1,multi-latency
8,39.2,calico,1,multi-latency
16,39.21,calico,1,multi-latency
32,39.24,calico,1,multi-latency
64,39.24,calico,1,multi-latency
128,39.26,calico,1,multi-latency
256,39.31,calico,1,multi-latency
512,28.37,calico,1,multi-latency
1024,28.28,calico,1,multi-latency
2048,28.8,calico,1,multi-latency
4096,30.81,calico,1,multi-latency
8192,41.49,calico,1,multi-latency
16384,43.5,calico,1,multi-latency
32768,52.15,calico,1,multi-latency
65536,175.18,calico,1,multi-latency
131072,204.8,calico,1,multi-latency
262144,284.46,calico,1,multi-latency
524288,349.17,calico,1,multi-latency
1048576,569.0,calico,1,multi-latency
2097152,1018.35,calico,1,multi-latency
4194304,2132.49,calico,1,multi-latency
1,39.36,calico,1,multi-latency
2,39.39,calico,1,multi-latency
4,39.36,calico,1,multi-latency
8,39.39,calico,1,multi-latency
16,39.4,calico,1,multi-latency
32,39.42,calico,1,multi-latency
64,39.47,calico,1,multi-latency
128,39.41,calico,1,multi-latency
256,39.47,calico,1,multi-latency
512,28.14,calico,1,multi-latency
1024,28.27,calico,1,multi-latency
2048,28.85,calico,1,multi-latency
4096,30.73,calico,1,multi-latency
8192,31.29,calico,1,multi-latency
16384,43.36,calico,1,multi-latency
32768,52.17,calico,1,multi-latency
65536,175.41,calico,1,multi-latency
131072,197.51,calico,1,multi-latency
262144,283.81,calico,1,multi-latency
524288,349.17,calico,1,multi-latency
1048576,571.21,calico,1,multi-latency
2097152,1025.32,calico,1,multi-latency
4194304,2130.84,calico,1,multi-latency
1,39.53,calico,1,multi-latency
2,39.57,calico,1,multi-latency
4,39.98,calico,1,multi-latency
8,39.5,calico,1,multi-latency
16,39.56,calico,1,multi-latency
32,39.5,calico,1,multi-latency
64,39.66,calico,1,multi-latency
128,39.6,calico,1,multi-latency
256,39.61,calico,1,multi-latency
512,28.4,calico,1,multi-latency
1024,28.52,calico,1,multi-latency
2048,29.0,calico,1,multi-latency
4096,30.93,calico,1,multi-latency
8192,42.0,calico,1,multi-latency
16384,43.83,calico,1,multi-latency
32768,52.39,calico,1,multi-latency
65536,175.62,calico,1,multi-latency
131072,196.63,calico,1,multi-latency
262144,284.84,calico,1,multi-latency
524288,351.14,calico,1,multi-latency
1048576,569.68,calico,1,multi-latency
2097152,1020.71,calico,1,multi-latency
4194304,2136.81,calico,1,multi-latency
1,39.43,calico,1,multi-latency
2,39.4,calico,1,multi-latency
4,39.39,calico,1,multi-latency
8,39.44,calico,1,multi-latency
16,39.46,calico,1,multi-latency
32,39.46,calico,1,multi-latency
64,39.56,calico,1,multi-latency
128,39.48,calico,1,multi-latency
256,39.59,calico,1,multi-latency
512,28.45,calico,1,multi-latency
1024,28.29,calico,1,multi-latency
2048,28.88,calico,1,multi-latency
4096,30.7,calico,1,multi-latency
8192,31.33,calico,1,multi-latency
16384,43.63,calico,1,multi-latency
32768,52.25,calico,1,multi-latency
65536,176.34,calico,1,multi-latency
131072,205.18,calico,1,multi-latency
262144,285.51,calico,1,multi-latency
524288,348.73,calico,1,multi-latency
1048576,571.46,calico,1,multi-latency
2097152,1023.13,calico,1,multi-latency
4194304,2139.21,calico,1,multi-latency
1,34.86,calico,1,multi-latency
2,34.84,calico,1,multi-latency
4,34.81,calico,1,multi-latency
8,34.79,calico,1,multi-latency
16,34.84,calico,1,multi-latency
32,34.84,calico,1,multi-latency
64,34.86,calico,1,multi-latency
128,34.88,calico,1,multi-latency
256,34.92,calico,1,multi-latency
512,25.03,calico,1,multi-latency
1024,25.11,calico,1,multi-latency
2048,25.45,calico,1,multi-latency
4096,27.31,calico,1,multi-latency
8192,36.61,calico,1,multi-latency
16384,38.27,calico,1,multi-latency
32768,46.04,calico,1,multi-latency
65536,156.56,calico,1,multi-latency
131072,181.25,calico,1,multi-latency
262144,251.27,calico,1,multi-latency
524288,382.13,calico,1,multi-latency
1048576,561.64,calico,1,multi-latency
2097152,921.4,calico,1,multi-latency
4194304,1963.73,calico,1,multi-latency
1,35.11,calico,1,multi-latency
2,35.14,calico,1,multi-latency
4,35.09,calico,1,multi-latency
8,35.1,calico,1,multi-latency
16,39.86,calico,1,multi-latency
32,39.83,calico,1,multi-latency
64,39.85,calico,1,multi-latency
128,39.93,calico,1,multi-latency
256,39.91,calico,1,multi-latency
512,28.47,calico,1,multi-latency
1024,28.54,calico,1,multi-latency
2048,28.89,calico,1,multi-latency
4096,30.93,calico,1,multi-latency
8192,31.41,calico,1,multi-latency
16384,43.48,calico,1,multi-latency
32768,52.1,calico,1,multi-latency
65536,176.87,calico,1,multi-latency
131072,204.43,calico,1,multi-latency
262144,284.43,calico,1,multi-latency
524288,426.08,calico,1,multi-latency
1048576,722.06,calico,1,multi-latency
2097152,1016.51,calico,1,multi-latency
4194304,2138.37,calico,1,multi-latency
1,39.38,calico,1,multi-latency
2,39.35,calico,1,multi-latency
4,39.35,calico,1,multi-latency
8,39.36,calico,1,multi-latency
16,39.37,calico,1,multi-latency
32,39.44,calico,1,multi-latency
64,39.42,calico,1,multi-latency
128,39.44,calico,1,multi-latency
256,39.43,calico,1,multi-latency
512,28.3,calico,1,multi-latency
1024,28.41,calico,1,multi-latency
2048,28.84,calico,1,multi-latency
4096,30.86,calico,1,multi-latency
8192,31.29,calico,1,multi-latency
16384,43.34,calico,1,multi-latency
32768,51.87,calico,1,multi-latency
65536,175.82,calico,1,multi-latency
131072,203.5,calico,1,multi-latency
262144,283.68,calico,1,multi-latency
524288,426.37,calico,1,multi-latency
1048576,569.79,calico,1,multi-latency
2097152,1015.51,calico,1,multi-latency
4194304,2140.79,calico,1,multi-latency
1,39.53,calico,1,multi-latency
2,39.57,calico,1,multi-latency
4,39.57,calico,1,multi-latency
8,39.58,calico,1,multi-latency
16,39.59,calico,1,multi-latency
32,39.58,calico,1,multi-latency
64,39.64,calico,1,multi-latency
128,39.63,calico,1,multi-latency
256,39.7,calico,1,multi-latency
512,28.51,calico,1,multi-latency
1024,28.8,calico,1,multi-latency
2048,28.89,calico,1,multi-latency
4096,30.8,calico,1,multi-latency
8192,31.31,calico,1,multi-latency
16384,43.5,calico,1,multi-latency
32768,52.34,calico,1,multi-latency
65536,176.36,calico,1,multi-latency
131072,204.0,calico,1,multi-latency
262144,285.63,calico,1,multi-latency
524288,350.5,calico,1,multi-latency
1048576,570.67,calico,1,multi-latency
2097152,1013.81,calico,1,multi-latency
4194304,2141.47,calico,1,multi-latency
1,39.59,calico,1,multi-latency
2,39.62,calico,1,multi-latency
4,39.62,calico,1,multi-latency
8,39.61,calico,1,multi-latency
16,39.64,calico,1,multi-latency
32,39.6,calico,1,multi-latency
64,39.63,calico,1,multi-latency
128,39.63,calico,1,multi-latency
256,39.67,calico,1,multi-latency
512,28.49,calico,1,multi-latency
1024,28.58,calico,1,multi-latency
2048,28.94,calico,1,multi-latency
4096,31.02,calico,1,multi-latency
8192,41.66,calico,1,multi-latency
16384,43.56,calico,1,multi-latency
32768,52.31,calico,1,multi-latency
65536,176.94,calico,1,multi-latency
131072,198.2,calico,1,multi-latency
262144,283.88,calico,1,multi-latency
524288,425.04,calico,1,multi-latency
1048576,570.34,calico,1,multi-latency
2097152,1020.04,calico,1,multi-latency
4194304,2143.81,calico,1,multi-latency
1,39.27,calico,1,multi-latency
2,39.23,calico,1,multi-latency
4,39.23,calico,1,multi-latency
8,39.27,calico,1,multi-latency
16,39.3,calico,1,multi-latency
32,39.29,calico,1,multi-latency
64,39.33,calico,1,multi-latency
128,39.3,calico,1,multi-latency
256,39.36,calico,1,multi-latency
512,28.23,calico,1,multi-latency
1024,28.31,calico,1,multi-latency
2048,28.8,calico,1,multi-latency
4096,30.95,calico,1,multi-latency
8192,41.27,calico,1,multi-latency
16384,43.52,calico,1,multi-latency
32768,51.88,calico,1,multi-latency
65536,175.75,calico,1,multi-latency
131072,204.23,calico,1,multi-latency
262144,283.42,calico,1,multi-latency
524288,350.7,calico,1,multi-latency
1048576,569.69,calico,1,multi-latency
2097152,1026.83,calico,1,multi-latency
4194304,2133.21,calico,1,multi-latency
1,39.44,calico,1,multi-latency
2,39.46,calico,1,multi-latency
4,40.05,calico,1,multi-latency
8,39.41,calico,1,multi-latency
16,39.45,calico,1,multi-latency
32,39.44,calico,1,multi-latency
64,39.54,calico,1,multi-latency
128,39.48,calico,1,multi-latency
256,39.54,calico,1,multi-latency
512,28.33,calico,1,multi-latency
1024,28.45,calico,1,multi-latency
2048,29.02,calico,1,multi-latency
4096,31.01,calico,1,multi-latency
8192,41.32,calico,1,multi-latency
16384,43.54,calico,1,multi-latency
32768,52.32,calico,1,multi-latency
65536,176.44,calico,1,multi-latency
131072,199.11,calico,1,multi-latency
262144,285.29,calico,1,multi-latency
524288,351.91,calico,1,multi-latency
1048576,569.04,calico,1,multi-latency
2097152,1020.7,calico,1,multi-latency
4194304,2137.32,calico,1,multi-latency
1,39.46,calico,1,multi-latency
2,39.53,calico,1,multi-latency
4,39.46,calico,1,multi-latency
8,39.51,calico,1,multi-latency
16,39.51,calico,1,multi-latency
32,39.51,calico,1,multi-latency
64,39.55,calico,1,multi-latency
128,39.5,calico,1,multi-latency
256,39.55,calico,1,multi-latency
512,28.39,calico,1,multi-latency
1024,28.31,calico,1,multi-latency
2048,28.69,calico,1,multi-latency
4096,30.93,calico,1,multi-latency
8192,41.21,calico,1,multi-latency
16384,43.37,calico,1,multi-latency
32768,51.75,calico,1,multi-latency
65536,175.62,calico,1,multi-latency
131072,198.68,calico,1,multi-latency
262144,283.89,calico,1,multi-latency
524288,349.57,calico,1,multi-latency
1048576,569.33,calico,1,multi-latency
2097152,1014.53,calico,1,multi-latency
4194304,2136.63,calico,1,multi-latency
1,34.6,calico,1,multi-latency
2,34.65,calico,1,multi-latency
4,34.63,calico,1,multi-latency
8,34.64,calico,1,multi-latency
16,34.67,calico,1,multi-latency
32,34.71,calico,1,multi-latency
64,35.23,calico,1,multi-latency
128,34.69,calico,1,multi-latency
256,34.73,calico,1,multi-latency
512,25.13,calico,1,multi-latency
1024,25.08,calico,1,multi-latency
2048,25.38,calico,1,multi-latency
4096,27.2,calico,1,multi-latency
8192,36.38,calico,1,multi-latency
16384,38.36,calico,1,multi-latency
32768,58.1,calico,1,multi-latency
65536,155.25,calico,1,multi-latency
131072,176.07,calico,1,multi-latency
262144,250.92,calico,1,multi-latency
524288,314.98,calico,1,multi-latency
1048576,516.13,calico,1,multi-latency
2097152,920.51,calico,1,multi-latency
4194304,1965.48,calico,1,multi-latency
1,35.0,calico,1,multi-latency
2,34.98,calico,1,multi-latency
4,34.99,calico,1,multi-latency
8,34.99,calico,1,multi-latency
16,34.99,calico,1,multi-latency
32,35.0,calico,1,multi-latency
64,35.03,calico,1,multi-latency
128,35.01,calico,1,multi-latency
256,35.04,calico,1,multi-latency
512,24.98,calico,1,multi-latency
1024,25.05,calico,1,multi-latency
2048,25.57,calico,1,multi-latency
4096,27.33,calico,1,multi-latency
8192,36.7,calico,1,multi-latency
16384,38.33,calico,1,multi-latency
32768,46.07,calico,1,multi-latency
65536,156.45,calico,1,multi-latency
131072,181.7,calico,1,multi-latency
262144,252.3,calico,1,multi-latency
524288,381.65,calico,1,multi-latency
1048576,649.67,calico,1,multi-latency
2097152,1182.92,calico,1,multi-latency
4194304,2457.35,calico,1,multi-latency
1,39.23,calico,1,multi-latency
2,39.26,calico,1,multi-latency
4,39.22,calico,1,multi-latency
8,39.26,calico,1,multi-latency
16,39.25,calico,1,multi-latency
32,39.26,calico,1,multi-latency
64,39.32,calico,1,multi-latency
128,39.27,calico,1,multi-latency
256,39.35,calico,1,multi-latency
512,28.41,calico,1,multi-latency
1024,28.32,calico,1,multi-latency
2048,28.7,calico,1,multi-latency
4096,31.0,calico,1,multi-latency
8192,31.35,calico,1,multi-latency
16384,43.43,calico,1,multi-latency
32768,52.01,calico,1,multi-latency
65536,175.82,calico,1,multi-latency
131072,203.32,calico,1,multi-latency
262144,283.7,calico,1,multi-latency
524288,349.01,calico,1,multi-latency
1048576,568.6,calico,1,multi-latency
2097152,1018.95,calico,1,multi-latency
4194304,2139.44,calico,1,multi-latency
1,39.24,calico,1,multi-latency
2,39.23,calico,1,multi-latency
4,39.59,calico,1,multi-latency
8,39.32,calico,1,multi-latency
16,39.23,calico,1,multi-latency
32,39.26,calico,1,multi-latency
64,39.32,calico,1,multi-latency
128,39.39,calico,1,multi-latency
256,39.34,calico,1,multi-latency
512,28.13,calico,1,multi-latency
1024,28.25,calico,1,multi-latency
2048,28.9,calico,1,multi-latency
4096,30.85,calico,1,multi-latency
8192,41.38,calico,1,multi-latency
16384,43.28,calico,1,multi-latency
32768,51.8,calico,1,multi-latency
65536,175.26,calico,1,multi-latency
131072,198.15,calico,1,multi-latency
262144,283.65,calico,1,multi-latency
524288,349.47,calico,1,multi-latency
1048576,568.77,calico,1,multi-latency
2097152,1012.46,calico,1,multi-latency
4194304,2140.16,calico,1,multi-latency
1,34.78,calico,1,multi-latency
2,34.72,calico,1,multi-latency
4,34.76,calico,1,multi-latency
8,34.85,calico,1,multi-latency
16,34.79,calico,1,multi-latency
32,34.83,calico,1,multi-latency
64,39.56,calico,1,multi-latency
128,39.55,calico,1,multi-latency
256,39.55,calico,1,multi-latency
512,28.34,calico,1,multi-latency
1024,28.41,calico,1,multi-latency
2048,28.78,calico,1,multi-latency
4096,30.77,calico,1,multi-latency
8192,31.48,calico,1,multi-latency
16384,43.28,calico,1,multi-latency
32768,51.88,calico,1,multi-latency
65536,175.33,calico,1,multi-latency
131072,197.34,calico,1,multi-latency
262144,284.22,calico,1,multi-latency
524288,424.75,calico,1,multi-latency
1048576,571.21,calico,1,multi-latency
2097152,1019.59,calico,1,multi-latency
4194304,2134.04,calico,1,multi-latency
1,39.16,calico,1,multi-latency
2,39.15,calico,1,multi-latency
4,39.38,calico,1,multi-latency
8,39.49,calico,1,multi-latency
16,39.26,calico,1,multi-latency
32,39.19,calico,1,multi-latency
64,39.24,calico,1,multi-latency
128,39.22,calico,1,multi-latency
256,39.28,calico,1,multi-latency
512,28.49,calico,1,multi-latency
1024,28.32,calico,1,multi-latency
2048,28.84,calico,1,multi-latency
4096,30.96,calico,1,multi-latency
8192,31.53,calico,1,multi-latency
16384,43.27,calico,1,multi-latency
32768,51.97,calico,1,multi-latency
65536,175.65,calico,1,multi-latency
131072,202.45,calico,1,multi-latency
262144,284.65,calico,1,multi-latency
524288,348.89,calico,1,multi-latency
1048576,570.91,calico,1,multi-latency
2097152,1017.24,calico,1,multi-latency
4194304,2134.71,calico,1,multi-latency
1,39.31,calico,1,multi-latency
2,39.28,calico,1,multi-latency
4,39.28,calico,1,multi-latency
8,39.34,calico,1,multi-latency
16,39.35,calico,1,multi-latency
32,39.34,calico,1,multi-latency
64,39.4,calico,1,multi-latency
128,39.41,calico,1,multi-latency
256,39.43,calico,1,multi-latency
512,28.13,calico,1,multi-latency
1024,28.24,calico,1,multi-latency
2048,28.85,calico,1,multi-latency
4096,30.88,calico,1,multi-latency
8192,31.38,calico,1,multi-latency
16384,43.39,calico,1,multi-latency
32768,52.29,calico,1,multi-latency
65536,175.66,calico,1,multi-latency
131072,204.58,calico,1,multi-latency
262144,285.49,calico,1,multi-latency
524288,424.17,calico,1,multi-latency
1048576,568.11,calico,1,multi-latency
2097152,1014.63,calico,1,multi-latency
4194304,2135.91,calico,1,multi-latency
1,39.17,calico,1,multi-latency
2,39.15,calico,1,multi-latency
4,39.2,calico,1,multi-latency
8,39.22,calico,1,multi-latency
16,39.21,calico,1,multi-latency
32,39.26,calico,1,multi-latency
64,39.63,calico,1,multi-latency
128,39.27,calico,1,multi-latency
256,39.31,calico,1,multi-latency
512,28.16,calico,1,multi-latency
1024,28.22,calico,1,multi-latency
2048,28.85,calico,1,multi-latency
4096,30.72,calico,1,multi-latency
8192,31.39,calico,1,multi-latency
16384,43.31,calico,1,multi-latency
32768,52.14,calico,1,multi-latency
65536,175.48,calico,1,multi-latency
131072,197.86,calico,1,multi-latency
262144,285.52,calico,1,multi-latency
524288,424.54,calico,1,multi-latency
1048576,570.07,calico,1,multi-latency
2097152,1021.76,calico,1,multi-latency
4194304,2139.81,calico,1,multi-latency
1,39.49,calico,1,multi-latency
2,39.5,calico,1,multi-latency
4,39.44,calico,1,multi-latency
8,39.43,calico,1,multi-latency
16,39.47,calico,1,multi-latency
32,39.48,calico,1,multi-latency
64,39.52,calico,1,multi-latency
128,39.47,calico,1,multi-latency
256,39.53,calico,1,multi-latency
512,28.3,calico,1,multi-latency
1024,28.42,calico,1,multi-latency
2048,28.88,calico,1,multi-latency
4096,30.81,calico,1,multi-latency
8192,41.17,calico,1,multi-latency
16384,43.37,calico,1,multi-latency
32768,51.88,calico,1,multi-latency
65536,175.48,calico,1,multi-latency
131072,199.35,calico,1,multi-latency
262144,283.96,calico,1,multi-latency
524288,424.97,calico,1,multi-latency
1048576,571.14,calico,1,multi-latency
2097152,1030.16,calico,1,multi-latency
4194304,2134.86,calico,1,multi-latency
1,39.94,calico,1,multi-latency
2,39.44,calico,1,multi-latency
4,39.47,calico,1,multi-latency
8,39.53,calico,1,multi-latency
16,39.5,calico,1,multi-latency
32,39.52,calico,1,multi-latency
64,39.51,calico,1,multi-latency
128,39.49,calico,1,multi-latency
256,39.55,calico,1,multi-latency
512,28.33,calico,1,multi-latency
1024,28.4,calico,1,multi-latency
2048,28.99,calico,1,multi-latency
4096,30.93,calico,1,multi-latency
8192,41.39,calico,1,multi-latency
16384,43.48,calico,1,multi-latency
32768,52.27,calico,1,multi-latency
65536,176.1,calico,1,multi-latency
131072,197.39,calico,1,multi-latency
262144,282.48,calico,1,multi-latency
524288,426.88,calico,1,multi-latency
1048576,571.64,calico,1,multi-latency
2097152,1021.65,calico,1,multi-latency
4194304,2138.0,calico,1,multi-latency
1,39.23,calico,1,multi-latency
2,39.28,calico,1,multi-latency
4,39.25,calico,1,multi-latency
8,39.24,calico,1,multi-latency
16,39.24,calico,1,multi-latency
32,39.25,calico,1,multi-latency
64,39.3,calico,1,multi-latency
128,39.31,calico,1,multi-latency
256,39.38,calico,1,multi-latency
512,28.35,calico,1,multi-latency
1024,28.25,calico,1,multi-latency
2048,28.81,calico,1,multi-latency
4096,30.7,calico,1,multi-latency
8192,31.27,calico,1,multi-latency
16384,43.48,calico,1,multi-latency
32768,51.94,calico,1,multi-latency
65536,175.01,calico,1,multi-latency
131072,197.13,calico,1,multi-latency
262144,284.86,calico,1,multi-latency
524288,349.06,calico,1,multi-latency
1048576,568.94,calico,1,multi-latency
2097152,1016.22,calico,1,multi-latency
4194304,2139.41,calico,1,multi-latency
1,39.42,calico,1,multi-latency
2,39.43,calico,1,multi-latency
