Warning: Permanently added '[osu-mbwmr-multinode-2-worker-0.osu-mbwmr-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-mbwmr-multinode-2-worker-1.osu-mbwmr-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
Warning: Permanently added '[osu-mbwmr-multinode-2-worker-0.osu-mbwmr-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       0.25         245954.75
2                       0.57         284995.46
4                       1.13         283535.67
8                       2.31         289347.76
16                      4.55         284369.46
32                      8.78         274286.36
64                     16.76         261804.53
128                    29.02         226680.68
256                    55.88         218271.57
512                   101.52         198285.81
1024                  187.53         183137.04
2048                  285.68         139492.65
4096                  420.17         102579.61
8192                  595.87          72737.74
16384                 746.32          45551.95
32768                 899.02          27436.01
65536                1351.42          20621.07
131072               1635.31          12476.42
262144               1736.34           6623.60
524288               1807.96           3448.41
1048576              1842.42           1757.07
2097152              1860.80            887.30
4194304              1867.10            445.15
Warning: Permanently added '[osu-mbwmr-multinode-2-worker-0.osu-mbwmr-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-mbwmr-multinode-2-worker-1.osu-mbwmr-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       0.28         281993.20
2                       0.56         279598.21
4                       1.11         277795.10
8                       2.34         293045.39
16                      4.64         289929.88
32                      9.30         290735.60
64                     16.90         264140.25
128                    30.24         236223.21
