[1721028221.078563908] thin004.hpc.rd.areasciencepark.it:rank1.osu_bibw: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721028221.092317463] thin003.hpc.rd.areasciencepark.it:rank0.osu_bibw: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721028221.105144729] thin004.hpc.rd.areasciencepark.it:rank1.osu_bibw: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721028221.119271907] thin003.hpc.rd.areasciencepark.it:rank0.osu_bibw: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721028221.130963809] thin004.hpc.rd.areasciencepark.it:rank1.osu_bibw: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721028221.145411541] thin003.hpc.rd.areasciencepark.it:rank0.osu_bibw: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted

# OSU MPI Bi-Directional Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
[1721028293.920585576] thin003.hpc.rd.areasciencepark.it:rank0.osu_bibw: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721028293.935807958] thin004.hpc.rd.areasciencepark.it:rank1.osu_bibw: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721028293.946657788] thin003.hpc.rd.areasciencepark.it:rank0.osu_bibw: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted

# OSU MPI Bi-Directional Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.82
2                       1.65
4                       3.33
8                       6.64
16                     13.31
32                     26.10
64                     49.44
128                    99.40
256                   185.88
512                   355.42
1024                  658.78
2048                 1165.37
4096                 1906.15
8192                 2543.11
16384                2500.94
32768                2507.93
65536                1621.43
131072               2037.28
262144               2045.62
524288               2493.00
1048576              2682.03
2097152              2878.97
4194304              3093.55
[1721028304.161181974] thin004.hpc.rd.areasciencepark.it:rank1.osu_bibw: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721028304.174959913] thin003.hpc.rd.areasciencepark.it:rank0.osu_bibw: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721028304.188141991] thin004.hpc.rd.areasciencepark.it:rank1.osu_bibw: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721028304.201948364] thin003.hpc.rd.areasciencepark.it:rank0.osu_bibw: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721028304.214189714] thin004.hpc.rd.areasciencepark.it:rank1.osu_bibw: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721028304.228411231] thin003.hpc.rd.areasciencepark.it:rank0.osu_bibw: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted

# OSU MPI Bi-Directional Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.81
2                       1.67
4                       3.27
8                       6.51
16                     13.29
32                     26.27
64                     50.91
128                    98.25
256                   187.10
512                   354.40
1024                  652.16
2048                 1150.32
4096                 1852.50
8192                 2540.69
16384                2483.41
32768                2624.94
65536                1640.31
131072               1913.37
262144               2095.84
524288               2660.92
1048576              2707.18
2097152              2840.48
4194304              3049.82

# OSU MPI Bi-Directional Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.80
2                       1.66
4                       3.28
8                       6.60
16                     13.20
32                     26.42
64                     50.60
128                    96.00
256                   184.54
512                   353.21
1024                  673.57
2048                 1163.55
4096                 1854.32
8192                 2617.98
16384                2588.70
32768                2924.94
65536                1625.19
131072               1991.44
262144               2431.92
524288               2443.59
1048576              2809.41
2097152              2887.30
4194304              3455.91
[1721028324.234856452] thin004.hpc.rd.areasciencepark.it:rank1.osu_bibw: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721028324.245492459] thin003.hpc.rd.areasciencepark.it:rank0.osu_bibw: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721028324.261157254] thin004.hpc.rd.areasciencepark.it:rank1.osu_bibw: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721028324.272179140] thin003.hpc.rd.areasciencepark.it:rank0.osu_bibw: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721028324.286859200] thin004.hpc.rd.areasciencepark.it:rank1.osu_bibw: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721028324.298223995] thin003.hpc.rd.areasciencepark.it:rank0.osu_bibw: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted

# OSU MPI Bi-Directional Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.83
2                       1.64
4                       3.30
8                       6.80
16                     13.23
32                     26.14
64                     50.52
128                    98.05
256                   187.21
512                   357.04
1024                  670.81
2048                 1177.40
4096                 1937.85
8192                 2703.55
16384                2439.79
32768                2795.30
65536                1762.08
131072               1935.34
262144               2091.82
524288               2575.45
1048576              3046.04
2097152              2950.59
4194304              3149.98
[1721028334.391627921] thin004.hpc.rd.areasciencepark.it:rank1.osu_bibw: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721028334.405913747] thin003.hpc.rd.areasciencepark.it:rank0.osu_bibw: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721028334.417953392] thin004.hpc.rd.areasciencepark.it:rank1.osu_bibw: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721028334.433185408] thin003.hpc.rd.areasciencepark.it:rank0.osu_bibw: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721028334.443733144] thin004.hpc.rd.areasciencepark.it:rank1.osu_bibw: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721028334.459492000] thin003.hpc.rd.areasciencepark.it:rank0.osu_bibw: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted

# OSU MPI Bi-Directional Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.83
2                       1.68
4                       3.32
8                       6.59
16                     13.30
32                     26.17
64                     50.58
128                    97.27
256                   188.43
512                   347.78
1024                  665.87
2048                 1170.62
4096                 1894.17
8192                 2676.60
16384                2613.36
32768                2881.10
65536                1842.23
131072               2181.95
262144               1914.48
524288               2063.07
1048576              2720.46
2097152              2616.21
4194304              2930.59
[1721028345.186306389] thin004.hpc.rd.areasciencepark.it:rank1.osu_bibw: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721028345.199327274] thin003.hpc.rd.areasciencepark.it:rank0.osu_bibw: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721028345.212907291] thin004.hpc.rd.areasciencepark.it:rank1.osu_bibw: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721028345.226662686] thin003.hpc.rd.areasciencepark.it:rank0.osu_bibw: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721028345.239609994] thin004.hpc.rd.areasciencepark.it:rank1.osu_bibw: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721028345.253199850] thin003.hpc.rd.areasciencepark.it:rank0.osu_bibw: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted

# OSU MPI Bi-Directional Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.81
2                       1.66
4                       3.37
8                       6.68
16                     13.14
32                     26.07
64                     51.09
128                    95.62
256                   185.14
512                   348.32
1024                  658.56
2048                 1163.20
4096                 1876.14
8192                 2609.11
16384                2725.72
32768                2627.89
65536                1561.98
131072               2127.23
262144               2152.66
524288               2000.88
1048576              2708.77
2097152              2639.26
4194304              2995.98

# OSU MPI Bi-Directional Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.81
2                       1.66
4                       3.31
8                       6.62
16                     13.25
32                     26.27
64                     50.50
128                    98.67
256                   183.69
512                   347.31
1024                  652.26
2048                 1152.34
4096                 1882.78
8192                 2618.89
16384                2720.68
32768                2941.28
65536                1878.18
131072               2171.06
262144               2312.63
524288               2361.26
1048576              2822.38
2097152              2438.02
4194304              2854.43

# OSU MPI Bi-Directional Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.83
2                       1.63
4                       3.28
8                       6.66
16                     13.34
32                     25.94
64                     50.31
128                    98.93
256                   187.58
512                   352.08
1024                  669.53
2048                 1173.24
4096                 1890.99
8192                 2546.82
16384                2506.11
32768                2578.33
65536                1630.40
131072               1984.16
262144               2066.12
524288               2294.95
1048576              2272.11
2097152              2664.42
4194304              2842.32

# OSU MPI Bi-Directional Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.84
2                       1.67
4                       3.39
8                       6.68
16                     13.38
32                     26.35
64                     50.54
128                    98.67
256                   187.47
512                   354.13
1024                  658.59
2048                 1169.80
4096                 1855.32
8192                 2631.55
16384                2716.37
32768                2780.29
65536                1596.19
131072               2049.70
262144               2040.97
524288               2137.66
1048576              2618.35
2097152              2737.58
4194304              2943.94

# OSU MPI Bi-Directional Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.85
2                       1.70
4                       3.18
8                       6.39
16                     12.70
32                     25.26
64                     49.22
128                    92.97
256                   177.28
512                   333.88
1024                  647.06
2048                 1142.62
4096                 1878.28
8192                 2615.85
16384                2696.24
32768                2501.76
65536                2017.79
131072               2330.83
262144               2394.75
524288               2470.35
1048576              2927.35
2097152              3089.43
4194304              3265.89

# OSU MPI Bi-Directional Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.83
2                       1.68
4                       3.31
8                       6.57
16                     13.28
32                     26.09
64                     50.42
128                    98.43
256                   187.34
512                   356.19
1024                  667.56
2048                 1183.26
4096                 1881.80
8192                 2444.20
16384                2501.05
32768                2638.04
65536                1511.15
131072               1881.27
262144               2039.72
524288               2399.78
1048576              2640.35
2097152              2995.71
4194304              3120.62

# OSU MPI Bi-Directional Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.78
2                       1.57
4                       3.14
8                       6.36
16                     12.61
32                     25.24
64                     48.95
128                    91.80
256                   177.92
512                   337.90
1024                  649.54
2048                 1144.23
4096                 1836.80
8192                 2567.28
16384                2546.74
32768                2818.56
65536                1590.08
131072               2200.14
262144               1994.40
524288               2506.65
1048576              2280.43
2097152              2703.01
4194304              2778.04
[1721028419.329041309] thin004.hpc.rd.areasciencepark.it:rank1.osu_bibw: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
