Warning: Permanently added '[osu-bw-multinode-2-worker-0.osu-bw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-bw-multinode-2-worker-1.osu-bw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.07
2                       0.15
4                       0.38
8                       0.82
16                      1.77
32                      3.56
64                      7.15
128                    14.31
256                    28.32
512                    55.31
1024                  109.67
2048                  195.84
4096                  394.14
8192                  800.02
16384                1169.47
32768                1314.70
65536                1146.51
131072               1490.49
262144               1687.22
524288               1783.59
1048576              1840.80
2097152              1868.10
4194304              1877.58
Warning: Permanently added '[osu-bw-multinode-2-worker-1.osu-bw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-bw-multinode-2-worker-0.osu-bw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.11
2                       0.23
4                       0.45
8                       0.90
16                      1.82
32                      3.64
64                      7.30
128                    14.59
256                    28.20
512                    57.56
1024                  115.66
2048                  221.38
4096                  434.61
8192                  776.14
16384                1061.30
32768                1195.15
65536                1100.63
131072               1304.64
262144               1414.57
524288               1477.35
1048576              1509.68
2097152              1573.29
4194304              1519.16
Warning: Permanently added '[osu-bw-multinode-2-worker-1.osu-bw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-bw-multinode-2-worker-0.osu-bw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.07
2                       0.22
4                       0.45
8                       0.90
16                      1.81
32                      3.61
64                      7.17
128                    14.36
256                    28.32
512                    55.75
1024                  110.40
2048                  191.72
4096                  414.46
8192                  757.59
16384                1054.30
32768                1294.59
65536                1119.33
131072               1474.19
262144               1687.16
524288               1781.89
1048576              1833.33
2097152              1857.31
4194304              1871.08
Warning: Permanently added '[osu-bw-multinode-2-worker-1.osu-bw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-bw-multinode-2-worker-0.osu-bw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.07
2                       0.18
4                       0.42
8                       0.90
16                      1.80
32                      3.58
64                      7.16
128                    14.34
256                    27.67
512                    55.23
1024                  109.16
2048                  190.25
4096                  389.31
8192                  795.81
16384                1213.42
32768                1482.25
65536                1322.85
131072               1545.46
262144               1681.41
524288               1773.78
1048576              1822.59
2097152              1865.63
4194304              1883.40
Warning: Permanently added '[osu-bw-multinode-2-worker-0.osu-bw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-bw-multinode-2-worker-1.osu-bw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.07
2                       0.19
4                       0.38
8                       0.85
16                      1.77
32                      3.60
64                      7.20
128                    14.46
256                    28.73
512                    56.57
1024                  114.07
2048                  204.30
4096                  431.93
8192                  800.48
16384                1164.52
32768                1289.91
65536                1120.67
131072               1472.63
262144               1676.55
524288               1779.40
1048576              1833.61
2097152              1856.76
4194304              1871.51
Warning: Permanently added '[osu-bw-multinode-2-worker-0.osu-bw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-bw-multinode-2-worker-1.osu-bw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.07
2                       0.17
4                       0.38
8                       0.84
16                      1.75
32                      3.58
64                      7.14
128                    14.18
256                    28.10
512                    55.43
1024                  112.27
2048                  192.52
4096                  421.43
8192                  783.43
16384                1144.00
32768                1303.64
65536                1096.09
131072               1474.67
262144               1679.76
524288               1777.10
1048576              1822.06
2097152              1857.10
4194304              1872.94
Warning: Permanently added '[osu-bw-multinode-2-worker-1.osu-bw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-bw-multinode-2-worker-0.osu-bw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.07
2                       0.17
4                       0.40
8                       0.88
16                      1.77
32                      3.55
64                      7.06
128                    14.05
256                    28.07
512                    55.46
1024                  109.79
2048                  200.57
4096                  409.72
8192                  758.37
16384                1236.56
32768                1456.87
65536                1207.33
131072               1501.53
262144               1684.90
524288               1779.53
1048576              1822.89
2097152              1854.23
4194304              1863.49
Warning: Permanently added '[osu-bw-multinode-2-worker-0.osu-bw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-bw-multinode-2-worker-1.osu-bw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.07
2                       0.19
4                       0.42
8                       0.89
16                      1.79
32                      3.58
64                      7.12
128                    14.19
256                    27.60
512                    55.89
1024                  112.23
2048                  215.31
4096                  415.41
8192                  710.81
16384                1090.35
32768                1180.90
65536                1061.53
131072               1464.05
262144               1701.08
524288               1783.91
1048576              1845.14
2097152              1874.79
4194304              1884.61
Warning: Permanently added '[osu-bw-multinode-2-worker-0.osu-bw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-bw-multinode-2-worker-1.osu-bw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Bandwidth Test v7.4
