Warning: Permanently added '[osu-multilatency-single-node-worker-0.osu-multilatency-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-multilatency-single-node-worker-1.osu-multilatency-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Multi Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
2097152               893.11
4194304              1895.98
Warning: Permanently added '[osu-multilatency-single-node-worker-1.osu-multilatency-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-multilatency-single-node-worker-0.osu-multilatency-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Multi Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      33.08
2                      33.09
4                      33.10
8                      33.10
16                     33.11
32                     33.09
64                     33.06
128                    33.10
256                    33.09
512                    24.41
1024                   24.53
2048                   24.64
4096                   26.66
8192                   27.33
16384                  38.05
32768                  48.12
65536                 152.23
131072                169.65
262144                234.86
524288                304.10
1048576               498.18
2097152               892.32
4194304              1893.81
Warning: Permanently added '[osu-multilatency-single-node-worker-0.osu-multilatency-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-multilatency-single-node-worker-1.osu-multilatency-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Multi Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      33.05
2                      33.08
4                      33.08
8                      33.10
16                     33.12
32                     33.13
64                     33.11
128                    33.09
256                    33.11
512                    24.57
1024                   24.64
2048                   24.94
4096                   27.09
8192                   27.71
16384                  37.94
32768                  47.41
65536                 151.28
131072                170.27
262144                234.92
524288                304.93
1048576               505.74
2097152               890.24
4194304              1898.00
Warning: Permanently added '[osu-multilatency-single-node-worker-0.osu-multilatency-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-multilatency-single-node-worker-1.osu-multilatency-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Multi Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      33.06
2                      33.10
4                      33.07
8                      33.08
16                     33.12
32                     33.10
64                     33.10
128                    33.10
256                    33.14
512                    24.59
1024                   24.70
2048                   25.14
4096                   26.92
8192                   27.68
16384                  38.20
32768                  57.54
65536                 148.71
131072                169.77
262144                236.81
524288                304.24
1048576               497.49
2097152               892.41
4194304              1896.55
Warning: Permanently added '[osu-multilatency-single-node-worker-1.osu-multilatency-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-multilatency-single-node-worker-0.osu-multilatency-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Multi Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      29.10
2                      33.01
4                      33.02
8                      33.02
16                     33.09
32                     33.04
64                     33.07
128                    33.08
256                    33.07
512                    24.66
1024                   24.64
2048                   24.81
4096                   26.91
8192                   27.52
16384                  37.83
32768                  48.00
65536                 152.04
131072                170.05
262144                235.66
524288                302.51
1048576               499.10
2097152               890.48
4194304              1905.79
Warning: Permanently added '[osu-multilatency-single-node-worker-0.osu-multilatency-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-multilatency-single-node-worker-1.osu-multilatency-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Multi Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      32.97
2                      32.97
4                      32.94
8                      33.42
16                     33.04
32                     33.00
64                     32.94
128                    32.98
256                    32.99
512                    24.58
1024                   24.51
2048                   24.81
4096                   26.84
8192                   27.44
16384                  37.99
32768                  47.63
65536                 151.97
131072                169.73
262144                207.20
524288                303.89
1048576               498.95
2097152               889.47
4194304              1892.89
Warning: Permanently added '[osu-multilatency-single-node-worker-1.osu-multilatency-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-multilatency-single-node-worker-0.osu-multilatency-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Multi Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      33.16
2                      33.17
4                      33.14
8                      33.17
16                     33.22
32                     33.18
64                     33.17
128                    33.17
256                    33.18
512                    24.73
1024                   24.70
2048                   25.10
4096                   27.12
8192                   27.71
16384                  38.01
32768                  47.77
65536                 152.24
131072                171.14
262144                236.30
524288                302.93
1048576               499.03
2097152               889.91
4194304              1898.31
Warning: Permanently added '[osu-multilatency-single-node-worker-0.osu-multilatency-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-multilatency-single-node-worker-1.osu-multilatency-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Multi Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      32.97
2                      32.98
4                      33.00
8                      33.00
16                     33.04
32                     33.01
64                     32.99
128                    32.97
256                    33.04
512                    24.60
1024                   24.53
2048                   24.74
4096                   26.79
8192                   27.43
16384                  38.07
32768                  47.99
65536                 141.34
131072                155.69
262144                207.86
524288                304.41
1048576               498.28
2097152               898.44
4194304              1903.02
Warning: Permanently added '[osu-multilatency-single-node-worker-1.osu-multilatency-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-multilatency-single-node-worker-0.osu-multilatency-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Multi Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      32.99
2                      33.07
4                      33.03
8                      33.08
16                     33.07
32                     33.05
64                     33.27
128                    32.99
256                    33.03
512                    24.60
1024                   24.60
2048                   24.82
4096                   26.92
8192                   27.51
16384                  37.88
32768                  47.75
65536                 151.75
131072                168.86
262144                223.02
524288                303.59
1048576               499.27
2097152               900.67
4194304              1887.85
Warning: Permanently added '[osu-multilatency-single-node-worker-1.osu-multilatency-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-multilatency-single-node-worker-0.osu-multilatency-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Multi Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      33.24
2                      33.26
4                      33.23
8                      33.26
16                     33.25
32                     33.26
64                     33.22
128                    33.26
256                    33.28
512                    24.69
1024                   24.70
2048                   24.97
4096                   27.19
8192                   27.59
16384                  37.98
32768                  47.71
65536                 151.86
131072                169.52
262144                236.59
524288                297.53
1048576               499.81
2097152               894.76
4194304              1892.05
Warning: Permanently added '[osu-multilatency-single-node-worker-1.osu-multilatency-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-multilatency-single-node-worker-0.osu-multilatency-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Multi Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      33.15
2                      33.17
4                      33.15
8                      33.16
16                     33.18
32                     33.13
64                     33.11
128                    33.12
256                    33.15
512                    24.59
1024                   24.69
2048                   25.12
4096                   27.13
8192                   28.29
16384                  38.15
32768                  47.50
65536                 150.93
131072                169.91
262144                236.60
524288                305.85
1048576               499.55
2097152               890.18
4194304              1900.54
Warning: Permanently added '[osu-multilatency-single-node-worker-1.osu-multilatency-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-multilatency-single-node-worker-0.osu-multilatency-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Multi Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      33.10
2                      33.16
4                      33.11
8                      33.14
16                     33.14
32                     33.16
64                     33.15
128                    33.13
256                    33.16
512                    24.71
1024                   24.68
2048                   24.87
4096                   26.95
8192                   27.53
16384                  38.08
32768                  47.80
65536                 153.45
131072                169.42
262144                207.88
524288                304.02
1048576               498.99
2097152               901.82
4194304              1898.66
Warning: Permanently added '[osu-multilatency-single-node-worker-1.osu-multilatency-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-multilatency-single-node-worker-0.osu-multilatency-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Multi Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      33.16
2                      33.18
4                      33.16
8                      33.16
16                     33.18
32                     33.21
64                     33.16
128                    33.13
256                    33.14
512                    24.49
1024                   24.57
2048                   24.91
4096                   26.85
8192                   35.86
16384                  38.04
32768                  47.78
65536                 151.88
131072                169.70
262144                220.79
524288                305.00
1048576               498.10
2097152               887.36
4194304              1903.62
Warning: Permanently added '[osu-multilatency-single-node-worker-1.osu-multilatency-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-multilatency-single-node-worker-0.osu-multilatency-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Multi Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      33.03
2                      33.38
4                      33.02
8                      33.02
16                     33.06
32                     33.09
64                     33.11
128                    33.07
256                    33.14
512                    24.63
1024                   24.65
2048                   25.16
4096                   27.03
8192                   27.58
16384                  38.06
32768                  48.00
65536                 149.74
131072                170.19
262144                206.74
524288                305.37
1048576               499.21
2097152               891.46
4194304              1894.31
Warning: Permanently added '[osu-multilatency-single-node-worker-1.osu-multilatency-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-multilatency-single-node-worker-0.osu-multilatency-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Multi Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      33.14
2                      33.16
4                      33.10
8                      33.10
16                     33.15
32                     33.09
64                     33.08
128                    33.11
256                    33.11
512                    24.49
1024                   24.61
2048                   24.83
4096                   26.75
8192                   27.45
16384                  37.83
32768                  47.48
65536                 151.98
131072                169.52
262144                234.10
524288                303.49
1048576               499.21
2097152               892.88
4194304              1880.70
Warning: Permanently added '[osu-multilatency-single-node-worker-1.osu-multilatency-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-multilatency-single-node-worker-0.osu-multilatency-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Multi Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      33.26
2                      33.27
4                      33.22
8                      33.23
16                     33.26
32                     33.25
64                     33.21
128                    33.19
256                    33.21
512                    24.56
1024                   24.65
2048                   24.99
4096                   26.94
