Size,CNI,Nodes,Benchmark,Mean,Median,Std,Min,Max
2,calico,2,bibw,0.37099999999999994,0.37,0.008448627719625703,0.35,0.38
2,calico,2,bw,0.156,0.17,0.026076809620810597,0.1,0.18
2,calico,2,latency,37.22533333333333,38.78,3.166432489828843,30.59,39.26
2,calico,2,latency_mp,67.11166666666666,67.005,0.5162068773562437,66.05,67.72
2,calico,2,mbw_mr,0.152,0.15,0.014715696522350923,0.11,0.18
2,calico,2,multi-latency,67.6,67.56,0.6647633750648352,66.21,68.51
2,cilium,1,bibw,0.3796666666666667,0.38,0.004901325178535605,0.37,0.39
2,cilium,1,bw,0.18866666666666668,0.19,0.003457459036417607,0.18,0.19
2,cilium,1,latency,17.073333333333334,17.035,0.1471882054245257,16.84,17.43
2,cilium,1,latency_mp,21.069333333333336,21.1,0.09864367548223117,20.81,21.18
2,cilium,1,mbw_mr,0.1726666666666667,0.17,0.006914918072835206,0.17,0.19
2,cilium,1,multi-latency,23.892,24.03,0.6087431936884959,20.72,24.17
2,cilium,2,bibw,1.2736666666666667,1.295,0.09072441534796402,1.11,1.45
2,cilium,2,bw,0.5696666666666667,0.57,0.060769963845201766,0.47,0.65
2,cilium,2,latency,36.54066666666667,38.05,2.8415160272877813,29.87,39.33
2,cilium,2,latency_mp,43.28933333333334,44.900000000000006,5.123845493735946,33.65,60.81
2,cilium,2,mbw_mr,0.5543333333333333,0.56,0.05062937223917885,0.47,0.66
2,cilium,2,multi-latency,43.80533333333334,44.695,3.701870667214295,38.59,55.0
2,flannel,1,bibw,0.27033333333333337,0.27,0.0031984191497474663,0.26,0.28
2,flannel,1,bw,0.13,0.13,0.0,0.13,0.13
2,flannel,1,latency,22.96066666666667,22.965,0.11138418550947563,22.65,23.14
2,flannel,1,latency_mp,29.254,29.21,0.11998850519658234,29.01,29.55
2,flannel,1,mbw_mr,0.11999999999999998,0.12,0.002626128657194455,0.11,0.13
2,flannel,1,multi-latency,33.13066666666666,33.1,0.14436384429707422,32.86,33.49
2,flannel,2,bibw,0.4073333333333334,0.43,0.053235542530397376,0.31,0.49
2,flannel,2,bw,0.1716666666666667,0.165,0.024365511710603173,0.15,0.23
2,flannel,2,latency,36.92433333333334,38.095,2.6263580176323273,31.51,39.09
2,flannel,2,latency_mp,69.95433333333334,67.77,18.71735441874149,46.31,166.42
2,flannel,2,mbw_mr,0.17633333333333334,0.17,0.015862193902556446,0.14,0.22
2,flannel,2,multi-latency,72.90933333333334,67.645,23.80933733575582,57.79,189.05
4,baremetal,1,bibw,41.01199999999999,40.239999999999995,3.8778107936984427,34.07,48.55
4,baremetal,1,bw,35.24066666666667,35.415,0.8079345028648911,31.64,36.02
4,baremetal,1,latency,0.434,0.43999999999999995,0.05021333797254298,0.38,0.5
4,baremetal,1,latency_mp,0.502,0.53,0.04656474913568166,0.43,0.58
4,baremetal,1,mbw_mr,34.04933333333334,34.405,1.1252553222401938,30.26,34.82
4,baremetal,1,multi-latency,0.494,0.47,0.04590845463415809,0.45,0.58
4,baremetal,2,bibw,3.283,3.3,0.0733978295272438,3.1,3.39
4,baremetal,2,bw,1.6523333333333334,1.71,0.12235289079158479,1.31,1.74
4,baremetal,2,latency,20.55633333333333,20.509999999999998,0.14478243685954612,20.42,21.1
4,baremetal,2,latency_mp,33.57866666666667,33.83,2.846838213894839,21.56,36.63
4,baremetal,2,mbw_mr,1.399,1.3849999999999998,0.10453014744148184,1.21,1.61
4,baremetal,2,multi-latency,31.565,34.215,5.618170490041435,17.64,36.44
4,calico,1,bibw,0.4406666666666667,0.44,0.004497764451088028,0.43,0.45
4,calico,1,bw,0.21733333333333332,0.22,0.004497764451088039,0.21,0.22
4,calico,1,latency,27.10666666666667,27.115000000000002,0.08817433097947514,26.92,27.27
4,calico,1,latency_mp,35.29866666666667,35.295,0.1107570604376163,35.09,35.58
4,calico,1,mbw_mr,0.19033333333333333,0.19,0.007648904962570576,0.18,0.21
4,calico,1,multi-latency,38.523,39.370000000000005,1.8847210531736138,34.63,40.05
4,calico,2,bibw,0.7576666666666667,0.76,0.004301830671520778,0.75,0.76
