[1721029416.542734754] thin003.hpc.rd.areasciencepark.it:rank0.osu_bw: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721029416.570168532] thin003.hpc.rd.areasciencepark.it:rank0.osu_bw: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721029416.597257347] thin003.hpc.rd.areasciencepark.it:rank0.osu_bw: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721029416.601591350] thin003.hpc.rd.areasciencepark.it:rank1.osu_bw: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721029416.628423194] thin003.hpc.rd.areasciencepark.it:rank1.osu_bw: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721029416.654820335] thin003.hpc.rd.areasciencepark.it:rank1.osu_bw: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted

# OSU MPI Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
# Size      Bandwidth (MB/s)
1                       8.81
2                      17.96
4                      35.95
8                      71.56
16                    140.01
32                    254.75
64                    449.95
128                   591.48
256                   996.12
512                  2053.00
1024                 3428.37
2048                 5810.85
4096                 2590.81
8192                 4566.72
16384                6413.49
32768                8966.85
65536               10934.16
131072              12374.92
262144              13530.81
524288              13213.57
1048576             11308.21
2097152              9561.35
4194304              9384.92

# OSU MPI Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       8.62
2                      17.44
4                      34.97
8                      70.20
16                    138.88
32                    276.30
64                    444.79
128                   593.89
256                  1002.19
512                  2040.40
1024                 3482.13
2048                 5679.86
4096                 2573.39
8192                 4593.39
16384                6308.95
32768                8731.66
65536               10720.89
131072              12283.53
262144              13459.75
524288              12996.26
1048576             11435.30
2097152              9566.59
4194304              9525.44

# OSU MPI Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       8.78
2                      17.69
4                      35.74
8                      71.66
16                    139.81
32                    263.27
64                    449.55
128                   583.80
256                   985.44
512                  2051.26
1024                 3530.15
2048                 5530.56
4096                 2579.85
8192                 4521.27
16384                6389.26
32768                8920.06
65536               10924.49
131072              12393.57
262144              13591.67
524288              13196.40
1048576             11074.47
2097152              9575.33
4194304              9548.29

# OSU MPI Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       8.27
2                      17.98
4                      35.58
8                      71.63
16                    140.99
32                    283.05
64                    446.41
128                   578.69
256                   972.87
512                  1938.62
1024                 3529.59
2048                 5843.48
4096                 2576.86
8192                 4559.45
16384                6241.57
32768                8621.01
65536               10837.05
131072              12330.92
262144              13519.92
524288              13210.41
1048576             11046.49
2097152              9550.23
4194304              9538.24

# OSU MPI Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       8.70
2                      17.64
4                      35.02
8                      68.01
16                    137.97
32                    277.40
64                    441.23
128                   594.22
256                   999.35
512                  1973.76
1024                 3514.90
2048                 5849.73
4096                 2585.14
8192                 4594.27
16384                6413.09
32768                8967.16
65536               10977.78
131072              12321.34
262144              13648.19
524288              12907.05
1048576             11249.57
2097152              9506.12
4194304              9518.29
[1721029454.238502166] thin003.hpc.rd.areasciencepark.it:rank0.osu_bw: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721029454.265397176] thin003.hpc.rd.areasciencepark.it:rank0.osu_bw: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721029454.292589226] thin003.hpc.rd.areasciencepark.it:rank1.osu_bw: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721029454.292640525] thin003.hpc.rd.areasciencepark.it:rank0.osu_bw: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721029454.319796408] thin003.hpc.rd.areasciencepark.it:rank1.osu_bw: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721029454.345932802] thin003.hpc.rd.areasciencepark.it:rank1.osu_bw: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted

# OSU MPI Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       8.65
2                      17.42
4                      34.97
8                      70.12
16                    137.93
32                    260.01
64                    444.08
128                   581.01
256                   981.27
512                  2028.86
1024                 3423.32
2048                 5732.55
4096                 2559.98
8192                 4594.95
16384                6319.24
32768                8790.54
65536               11005.06
131072              12478.93
262144              13783.18
524288              12893.33
1048576             11022.91
2097152              9494.45
4194304              9307.01
[1721029457.184116640] thin003.hpc.rd.areasciencepark.it:rank0.osu_bw: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721029457.211499266] thin003.hpc.rd.areasciencepark.it:rank0.osu_bw: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721029457.238434447] thin003.hpc.rd.areasciencepark.it:rank0.osu_bw: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721029457.242666770] thin003.hpc.rd.areasciencepark.it:rank1.osu_bw: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721029457.269716907] thin003.hpc.rd.areasciencepark.it:rank1.osu_bw: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721029457.295886671] thin003.hpc.rd.areasciencepark.it:rank1.osu_bw: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted

# OSU MPI Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       8.60
2                      17.32
4                      34.70
8                      69.30
16                    137.48
32                    269.24
64                    435.31
128                   575.87
256                   975.29
512                  1976.55
1024                 3460.43
2048                 5800.97
4096                 2560.52
8192                 4406.45
16384                6450.11
32768                9045.90
65536               11073.99
131072              12594.03
262144              13700.53
524288              12983.26
1048576             11294.38
2097152              9475.43
4194304              9488.43
[1721029460.119226419] thin003.hpc.rd.areasciencepark.it:rank0.osu_bw: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721029460.146672158] thin003.hpc.rd.areasciencepark.it:rank0.osu_bw: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721029460.174021136] thin003.hpc.rd.areasciencepark.it:rank0.osu_bw: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721029460.174839212] thin003.hpc.rd.areasciencepark.it:rank1.osu_bw: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721029460.202272812] thin003.hpc.rd.areasciencepark.it:rank1.osu_bw: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721029460.228383908] thin003.hpc.rd.areasciencepark.it:rank1.osu_bw: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted

# OSU MPI Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       8.56
2                      17.48
4                      34.80
8                      70.18
16                    138.21
32                    276.88
64                    434.04
128                   565.08
256                   942.45
512                  2034.36
1024                 3472.91
2048                 5754.15
4096                 2599.47
8192                 4556.80
16384                6495.64
32768                8998.11
65536               10945.60
131072              12538.08
262144              13439.06
524288              12898.86
1048576             11030.50
2097152              9443.49
4194304              9465.31

# OSU MPI Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       8.74
2                      17.66
4                      35.39
8                      65.03
16                    139.50
32                    281.42
64                    443.12
128                   580.26
256                   985.39
512                  1994.47
1024                 3499.02
2048                 5778.18
4096                 2567.60
8192                 4564.06
16384                6376.16
32768                8931.54
65536               11044.07
131072              12626.04
262144              13586.46
524288              13110.42
1048576             11366.43
2097152              9536.33
4194304              9510.88

# OSU MPI Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       8.78
2                      17.33
4                      31.64
8                      70.91
16                    139.53
32                    280.87
64                    437.00
128                   597.71
256                   984.39
512                  2032.15
1024                 3487.88
2048                 5784.13
4096                 2561.01
8192                 4582.69
16384                6247.22
32768                8771.91
65536               10832.76
131072              12425.25
262144              13803.02
524288              13254.28
1048576             11433.92
2097152              9549.30
4194304              9461.29

# OSU MPI Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       8.24
2                      17.84
4                      35.64
8                      71.55
16                    141.13
32                    280.62
64                    454.62
128                   593.92
256                   950.53
512                  2043.84
1024                 3500.68
2048                 5783.38
4096                 2589.67
8192                 4506.49
16384                6389.78
32768                8878.11
65536               10802.21
131072              12233.28
262144              13500.46
524288              13118.28
1048576             11622.15
2097152              9543.96
4194304              9525.06

# OSU MPI Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       8.70
2                      17.78
4                      35.59
8                      70.85
16                    139.57
32                    271.01
64                    447.14
128                   555.01
256                   990.79
512                  2062.08
1024                 3465.98
2048                 5576.43
4096                 2544.18
8192                 4569.63
16384                6334.19
32768                8746.25
65536               10888.68
131072              12266.44
262144              13599.67
524288              13215.86
1048576             11359.97
2097152              9536.72
4194304              9525.26

# OSU MPI Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       8.95
2                      18.07
4                      35.73
8                      71.90
16                    139.95
32                    256.49
64                    445.32
128                   589.04
256                   989.63
512                  2042.00
1024                 3406.81
2048                 5717.31
4096                 2593.76
8192                 4573.52
16384                6386.14
32768                8858.74
65536               10841.38
131072              12460.10
262144              13597.23
524288              13209.13
1048576             11235.33
2097152              9539.59
4194304              9520.13

# OSU MPI Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       8.72
2                      17.34
4                      35.62
8                      70.86
16                    133.82
32                    267.15
64                    431.68
128                   568.10
256                   972.47
512                  2035.47
1024                 3501.86
2048                 5776.92
4096                 2545.25
8192                 4528.44
16384                6236.15
32768                8673.06
65536               10801.17
131072              12337.18
262144              13505.71
524288              13160.98
1048576             11234.11
2097152              9572.91
4194304              9509.71
[1721029480.388813735] thin003.hpc.rd.areasciencepark.it:rank0.osu_bw: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721029480.416070995] thin003.hpc.rd.areasciencepark.it:rank0.osu_bw: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721029480.443214795] thin003.hpc.rd.areasciencepark.it:rank0.osu_bw: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721029480.443503496] thin003.hpc.rd.areasciencepark.it:rank1.osu_bw: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721029480.470621117] thin003.hpc.rd.areasciencepark.it:rank1.osu_bw: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721029480.496767126] thin003.hpc.rd.areasciencepark.it:rank1.osu_bw: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted

# OSU MPI Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       8.79
2                      17.51
4                      34.48
8                      70.55
16                    139.21
32                    279.70
64                    413.53
128                   577.26
256                   988.53
