Warning: Permanently added '[osu-bibw-single-node-worker-0.osu-bibw-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-bibw-single-node-worker-1.osu-bibw-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Bi-Directional Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
512                    68.55
1024                  130.88
2048                  161.69
4096                  449.39
8192                  801.74
16384                1298.98
32768                1894.09
65536                1368.61
131072               1962.71
262144               2205.87
524288               2449.74
1048576              2598.87
2097152              2705.67
4194304              2661.96
Warning: Permanently added '[osu-bibw-single-node-worker-0.osu-bibw-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-bibw-single-node-worker-1.osu-bibw-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Bi-Directional Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.14
2                       0.28
4                       0.55
8                       1.09
16                      2.17
32                      4.35
64                      8.67
128                    17.31
256                    34.72
512                    68.27
1024                  128.40
2048                  162.17
4096                  334.16
8192                  789.52
16384                1187.51
32768                1957.42
65536                1357.53
131072               1983.91
262144               2190.00
524288               2453.48
1048576              2570.74
2097152              2675.08
4194304              2669.13
Warning: Permanently added '[osu-bibw-single-node-worker-0.osu-bibw-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-bibw-single-node-worker-1.osu-bibw-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Bi-Directional Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.14
2                       0.28
4                       0.55
8                       1.09
16                      2.19
32                      4.34
64                      8.72
128                    17.34
256                    34.72
512                    68.39
1024                  123.83
2048                  162.71
4096                  350.66
8192                  787.59
16384                1298.58
32768                1955.34
65536                1347.10
131072               2029.57
262144               2169.65
524288               2438.49
