Warning: Permanently added '[osu-bibw-single-node-worker-0.osu-bibw-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-bibw-single-node-worker-1.osu-bibw-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Bi-Directional Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
16                      2.15
32                      4.29
64                      8.62
128                    17.09
256                    34.29
512                    67.80
1024                  122.27
2048                  162.45
4096                  451.25
8192                  806.85
16384                1290.58
32768                1980.76
65536                1350.56
131072               2027.55
262144               2232.20
524288               2458.82
1048576              2600.50
2097152              2704.85
4194304              2720.61
Warning: Permanently added '[osu-bibw-single-node-worker-0.osu-bibw-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-bibw-single-node-worker-1.osu-bibw-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Bi-Directional Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.13
2                       0.27
4                       0.54
8                       1.08
16                      2.15
32                      4.28
64                      8.62
128                    16.89
256                    34.44
512                    66.76
1024                  126.53
2048                  152.84
4096                  468.90
8192                  816.79
16384                1288.55
32768                1929.72
65536                1354.58
131072               2034.22
262144               2190.58
524288               2461.86
1048576              2604.85
2097152              2686.26
4194304              2655.16
Warning: Permanently added '[osu-bibw-single-node-worker-0.osu-bibw-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-bibw-single-node-worker-1.osu-bibw-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Bi-Directional Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.14
2                       0.27
4                       0.54
8                       1.06
16                      2.15
32                      4.30
64                      8.49
128                    16.68
256                    34.20
512                    68.02
1024                  126.81
2048                  162.22
4096                  340.99
8192                  821.48
16384                1218.46
32768                1982.46
65536                1355.20
131072               1998.92
262144               2235.87
524288               2461.12
1048576              2586.97
2097152              2683.83
4194304              2652.14
Warning: Permanently added '[osu-bibw-single-node-worker-0.osu-bibw-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-bibw-single-node-worker-1.osu-bibw-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Bi-Directional Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.14
2                       0.27
4                       0.55
8                       1.09
16                      2.18
32                      4.36
64                      8.71
128                    17.42
256                    34.52
512                    67.99
1024                  128.07
2048                  162.56
4096                  332.95
8192                  806.14
16384                1180.90
32768                1962.73
65536                1377.31
131072               1995.33
262144               2203.96
524288               2493.29
1048576              2599.50
2097152              2708.36
4194304              2706.93
Warning: Permanently added '[osu-bibw-single-node-worker-0.osu-bibw-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-bibw-single-node-worker-1.osu-bibw-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Bi-Directional Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.13
2                       0.27
4                       0.54
8                       1.07
16                      2.15
32                      4.24
64                      8.57
128                    16.94
256                    34.16
512                    67.79
1024                  128.11
2048                  162.73
4096                  332.90
8192                  804.40
16384                1294.21
32768                1899.40
65536                1336.21
131072               1984.50
262144               2181.87
524288               2452.98
1048576              2591.94
2097152              2712.48
4194304              2715.07
Warning: Permanently added '[osu-bibw-single-node-worker-1.osu-bibw-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-bibw-single-node-worker-0.osu-bibw-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Bi-Directional Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.13
2                       0.27
4                       0.53
8                       1.08
16                      2.15
32                      4.33
64                      8.63
128                    17.28
256                    34.50
512                    68.40
1024                  125.75
2048                  160.93
4096                  469.39
8192                  793.28
16384                1288.30
32768                1897.83
65536                1341.94
131072               1985.81
262144               2164.57
524288               2461.52
1048576              2575.63
2097152              2672.01
4194304              2650.81
Warning: Permanently added '[osu-bibw-single-node-worker-0.osu-bibw-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-bibw-single-node-worker-1.osu-bibw-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Bi-Directional Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.13
2                       0.27
4                       0.54
8                       1.08
16                      2.16
32                      4.31
64                      8.63
128                    17.07
256                    34.29
512                    67.52
1024                  127.49
2048                  162.14
4096                  468.56
8192                  815.08
16384                1292.54
32768                1925.69
65536                1354.93
131072               2026.30
262144               2213.51
524288               2469.94
1048576              2587.79
2097152              2689.60
4194304              2718.27
Warning: Permanently added '[osu-bibw-single-node-worker-1.osu-bibw-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-bibw-single-node-worker-0.osu-bibw-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Bi-Directional Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.14
2                       0.27
4                       0.54
8                       1.08
16                      2.16
32                      4.28
64                      8.64
128                    17.23
256                    34.04
512                    67.57
1024                  126.13
2048                  161.97
4096                  459.80
8192                  790.45
16384                1298.72
32768                1689.60
65536                1383.55
131072               2014.61
262144               2180.97
524288               2478.97
1048576              2594.19
2097152              2706.08
4194304              2720.76
Warning: Permanently added '[osu-bibw-single-node-worker-0.osu-bibw-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-bibw-single-node-worker-1.osu-bibw-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Bi-Directional Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.13
2                       0.26
4                       0.53
8                       1.06
16                      2.13
32                      4.23
64                      8.52
128                    16.55
256                    31.78
512                    64.72
1024                  126.70
2048                  162.73
4096                  461.02
8192                  815.00
16384                1301.88
32768                1892.88
65536                1376.34
131072               2014.92
262144               2202.98
524288               2458.62
1048576              2583.36
2097152              2705.26
4194304              2719.44
Warning: Permanently added '[osu-bibw-single-node-worker-0.osu-bibw-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-bibw-single-node-worker-1.osu-bibw-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Bi-Directional Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.13
2                       0.27
4                       0.53
8                       1.07
16                      2.13
32                      4.21
64                      8.55
128                    16.98
256                    33.76
512                    67.98
1024                  127.04
2048                  160.93
4096                  302.68
8192                  802.43
16384                1290.73
32768                1914.55
65536                1378.02
131072               2026.58
262144               2231.60
524288               2446.77
1048576              2577.03
2097152              2671.92
4194304              2653.41
