Warning: Permanently added '[osu-bw-multinode-2-worker-0.osu-bw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-bw-multinode-2-worker-1.osu-bw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
4096                  305.80
8192                  539.78
16384                 876.54
32768                1241.90
65536                 968.68
131072               1260.44
262144               1466.00
524288               1552.75
1048576              1622.17
2097152              1667.74
4194304              1686.07
Warning: Permanently added '[osu-bw-multinode-2-worker-0.osu-bw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-bw-multinode-2-worker-1.osu-bw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.08
2                       0.17
4                       0.35
8                       0.70
16                      1.40
32                      2.80
64                      5.61
128                    11.20
256                    21.90
512                    43.59
1024                   87.00
2048                  159.05
4096                  299.60
8192                  535.93
16384                 746.24
32768                1065.61
65536                1030.22
131072               1328.35
262144               1511.86
524288               1611.60
1048576              1650.32
2097152              1686.61
4194304              1700.40
Warning: Permanently added '[osu-bw-multinode-2-worker-1.osu-bw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-bw-multinode-2-worker-0.osu-bw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.06
2                       0.17
4                       0.35
8                       0.71
16                      1.42
32                      2.84
64                      5.67
128                    11.36
256                    21.80
512                    45.46
1024                   90.43
2048                  163.47
4096                  305.36
8192                  537.97
16384                 863.47
32768                1241.82
65536                 966.03
131072               1256.91
262144               1462.79
524288               1552.10
1048576              1617.15
2097152              1666.46
4194304              1680.11
Warning: Permanently added '[osu-bw-multinode-2-worker-1.osu-bw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-bw-multinode-2-worker-0.osu-bw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.05
2                       0.10
4                       0.26
8                       0.59
16                      1.24
32                      2.83
64                      5.68
128                    11.37
256                    22.77
512                    45.35
1024                   90.50
2048                  163.83
4096                  305.65
8192                  540.87
16384                 870.37
32768                1258.94
65536                 973.33
131072               1260.13
262144               1471.42
524288               1564.74
1048576              1628.72
2097152              1678.80
4194304              1689.06
Warning: Permanently added '[osu-bw-multinode-2-worker-0.osu-bw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-bw-multinode-2-worker-1.osu-bw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.05
2                       0.14
4                       0.32
8                       0.71
16                      1.41
32                      2.84
64                      5.67
128                    11.36
256                    22.71
512                    45.36
1024                   90.28
2048                  154.53
4096                  305.89
8192                  543.17
16384                 871.07
32768                1239.66
65536                 980.44
131072               1257.06
262144               1462.77
524288               1549.39
1048576              1609.19
2097152              1656.55
4194304              1671.33
Warning: Permanently added '[osu-bw-multinode-2-worker-1.osu-bw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-bw-multinode-2-worker-0.osu-bw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.05
2                       0.12
4                       0.33
8                       0.71
16                      1.42
32                      2.83
64                      5.67
128                    11.37
256                    22.72
512                    43.31
1024                   90.05
2048                  163.11
4096                  306.18
8192                  542.52
16384                 866.16
32768                1258.76
65536                 964.28
131072               1253.43
262144               1445.77
524288               1550.77
1048576              1621.14
2097152              1666.98
4194304              1677.83
Warning: Permanently added '[osu-bw-multinode-2-worker-1.osu-bw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-bw-multinode-2-worker-0.osu-bw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.07
2                       0.17
4                       0.35
8                       0.70
16                      1.40
32                      2.81
64                      5.54
128                    11.11
256                    21.76
512                    43.80
1024                   89.10
2048                  158.66
4096                  298.18
8192                  529.76
16384                 749.57
32768                 978.66
65536                 971.46
131072               1178.01
262144               1311.66
524288               1450.61
1048576              1491.23
2097152              1512.71
4194304              1539.98
Warning: Permanently added '[osu-bw-multinode-2-worker-1.osu-bw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-bw-multinode-2-worker-0.osu-bw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.07
2                       0.17
4                       0.35
8                       0.70
16                      1.39
32                      2.79
64                      5.56
128                    11.10
256                    21.58
512                    43.04
1024                   86.70
2048                  159.31
4096                  300.14
8192                  532.91
16384                 848.23
32768                1196.33
65536                 943.29
131072               1162.64
262144               1261.17
524288               1414.11
1048576              1499.69
2097152              1545.14
4194304              1564.64
Warning: Permanently added '[osu-bw-multinode-2-worker-1.osu-bw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-bw-multinode-2-worker-0.osu-bw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.08
2                       0.17
4                       0.35
8                       0.70
16                      1.40
32                      2.81
64                      5.61
128                    11.21
256                    21.83
512                    43.84
1024                   89.89
2048                  161.32
4096                  301.76
8192                  536.00
16384                 746.65
32768                 987.24
65536                1012.05
131072               1183.79
262144               1330.01
524288               1433.17
1048576              1502.81
2097152              1527.57
4194304              1543.75
Warning: Permanently added '[osu-bw-multinode-2-worker-1.osu-bw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-bw-multinode-2-worker-0.osu-bw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.07
2                       0.17
4                       0.35
8                       0.71
16                      1.42
32                      2.84
64                      5.69
128                    11.38
256                    22.04
512                    45.45
1024                   90.37
2048                  155.11
4096                  306.34
8192                  537.88
16384                 873.90
32768                1256.58
65536                 967.09
131072               1262.39
262144               1472.66
524288               1551.68
1048576              1617.16
2097152              1666.74
4194304              1693.59
Warning: Permanently added '[osu-bw-multinode-2-worker-1.osu-bw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-bw-multinode-2-worker-0.osu-bw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.08
2                       0.17
4                       0.35
8                       0.70
16                      1.40
32                      2.80
64                      5.59
128                    11.11
256                    21.75
512                    43.61
1024                   88.41
2048                  159.38
4096                  298.59
8192                  533.06
16384                 831.94
32768                 944.12
65536                 985.69
131072               1172.93
262144               1352.01
524288               1402.65
1048576              1448.85
2097152              1536.08
4194304              1480.70
Warning: Permanently added '[osu-bw-multinode-2-worker-0.osu-bw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-bw-multinode-2-worker-1.osu-bw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.05
2                       0.10
4                       0.27
8                       0.65
16                      1.42
32                      2.84
64                      5.69
128                    11.38
256                    22.85
512                    44.86
1024                   90.47
2048                  153.63
4096                  305.80
8192                  545.16
16384                 843.17
32768                1192.18
65536                 968.33
131072               1258.08
262144               1463.91
524288               1550.22
1048576              1611.02
2097152              1673.72
4194304              1689.72
Warning: Permanently added '[osu-bw-multinode-2-worker-1.osu-bw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-bw-multinode-2-worker-0.osu-bw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.08
2                       0.18
4                       0.35
8                       0.70
16                      1.40
32                      2.80
64                      5.61
128                    11.19
256                    21.72
512                    43.56
1024                   89.72
2048                  160.49
4096                  301.66
8192                  535.31
16384                 828.31
32768                 965.04
65536                 971.80
131072               1153.91
262144               1307.45
524288               1447.51
1048576              1507.00
2097152              1518.36
4194304              1484.00
Warning: Permanently added '[osu-bw-multinode-2-worker-1.osu-bw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-bw-multinode-2-worker-0.osu-bw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.08
2                       0.17
4                       0.35
8                       0.70
16                      1.39
32                      2.79
64                      5.58
128                    11.15
256                    21.73
512                    43.80
1024                   88.99
2048                  159.67
4096                  299.42
8192                  532.61
16384                 851.90
32768                 992.85
65536                 928.55
131072               1247.11
262144               1302.31
524288               1438.79
1048576              1527.51
2097152              1546.05
4194304              1615.57
Warning: Permanently added '[osu-bw-multinode-2-worker-1.osu-bw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-bw-multinode-2-worker-0.osu-bw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.08
2                       0.17
4                       0.35
8                       0.70
16                      1.41
32                      2.82
64                      5.64
128                    11.27
256                    21.93
512                    43.76
1024                   89.06
2048                  160.36
4096                  301.10
8192                  534.78
16384                 758.33
32768                1040.86
65536                 968.79
131072               1196.55
262144               1337.63
524288               1405.06
1048576              1491.66
2097152              1590.14
4194304              1573.85
Warning: Permanently added '[osu-bw-multinode-2-worker-0.osu-bw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-bw-multinode-2-worker-1.osu-bw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.08
2                       0.18
4                       0.35
8                       0.70
16                      1.41
32                      2.81
64                      5.63
128                    11.24
256                    21.85
512                    43.82
1024                   89.70
2048                  160.97
4096                  299.93
8192                  529.31
16384                 839.82
32768                1066.30
65536                1054.99
131072               1223.77
262144               1302.96
524288               1422.78
1048576              1493.46
2097152              1582.82
4194304              1573.88
Warning: Permanently added '[osu-bw-multinode-2-worker-1.osu-bw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-bw-multinode-2-worker-0.osu-bw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.05
2                       0.11
4                       0.36
8                       0.71
16                      1.42
32                      2.84
64                      5.68
128                    11.37
256                    22.66
512                    45.30
1024                   90.19
2048                  162.42
4096                  305.73
8192                  543.14
16384                 888.21
32768                1280.34
65536                 968.21
131072               1259.61
262144               1469.39
524288               1556.06
1048576              1610.85
2097152              1650.06
4194304              1669.82
Warning: Permanently added '[osu-bw-multinode-2-worker-1.osu-bw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-bw-multinode-2-worker-0.osu-bw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.05
2                       0.16
4                       0.35
8                       0.71
16                      1.42
32                      2.84
64                      5.68
128                    11.38
256                    22.49
512                    45.42
1024                   90.26
2048                  162.09
4096                  303.56
8192                  538.17
16384                 867.76
32768                1248.13
65536                 967.03
131072               1255.56
262144               1460.77
524288               1538.75
1048576              1604.43
2097152              1656.67
4194304              1674.11
Warning: Permanently added '[osu-bw-multinode-2-worker-0.osu-bw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-bw-multinode-2-worker-1.osu-bw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.05
2                       0.11
4                       0.31
8                       0.69
16                      1.42
32                      2.84
64                      5.69
128                    11.37
256                    22.75
512                    44.68
1024                   91.23
2048                  161.10
4096                  304.68
8192                  538.61
16384                 863.32
32768                1241.95
65536                 968.36
131072               1260.37
262144               1466.36
524288               1555.67
1048576              1617.12
2097152              1667.07
4194304              1680.89
Warning: Permanently added '[osu-bw-multinode-2-worker-0.osu-bw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-bw-multinode-2-worker-1.osu-bw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.05
2                       0.12
4                       0.31
8                       0.63
16                      1.36
32                      2.84
64                      5.68
128                    11.39
256                    22.79
512                    44.53
1024                   90.67
2048                  162.56
4096                  304.11
8192                  538.77
16384                 865.47
32768                1239.55
65536                 965.37
131072               1255.97
262144               1463.54
524288               1539.24
1048576              1618.20
2097152              1664.27
4194304              1677.27
Warning: Permanently added '[osu-bw-multinode-2-worker-1.osu-bw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-bw-multinode-2-worker-0.osu-bw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.08
2                       0.17
4                       0.35
8                       0.70
16                      1.41
32                      2.81
64                      5.63
128                    11.26
256                    22.49
512                    43.53
1024                   86.70
2048                  146.13
4096                  290.99
8192                  548.31
16384                 785.42
32768                1109.48
65536                1044.01
131072               1329.38
262144               1510.13
524288               1609.33
1048576              1653.42
2097152              1677.63
4194304              1698.64
Warning: Permanently added '[osu-bw-multinode-2-worker-1.osu-bw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-bw-multinode-2-worker-0.osu-bw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.08
2                       0.18
4                       0.35
8                       0.70
16                      1.41
32                      2.81
64                      5.63
128                    11.22
256                    21.84
512                    43.65
1024                   89.48
2048                  161.07
4096                  301.63
8192                  536.60
16384                 854.54
32768                1206.81
65536                 976.48
131072               1237.52
262144               1270.56
524288               1474.49
1048576              1552.24
2097152              1575.02
4194304              1573.77
