Warning: Permanently added '[osu-mbwmr-single-node-worker-1.osu-mbwmr-single-node.osutmp.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-mbwmr-single-node-worker-0.osu-mbwmr-single-node.osutmp.svc]:2222' (ECDSA) to the list of known hosts.
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
Warning: Permanently added '[osu-mbwmr-single-node-worker-1.osu-mbwmr-single-node.osutmp.svc]:2222' (ECDSA) to the list of known hosts.
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       0.05          46436.19
2                       0.09          46358.18
4                       0.19          46450.58
8                       0.37          46022.32
16                      0.70          43780.00
32                      1.49          46438.35
64                      2.97          46400.60
128                     5.94          46379.79
256                    11.86          46313.25
512                    16.60          32430.28
1024                   33.19          32415.04
2048                   52.09          25433.46
4096                  102.92          25128.06
8192                  204.72          24990.52
16384                 404.62          24696.03
32768                1245.35          38004.92
65536                 620.98           9475.42
131072               1198.52           9143.97
262144               1641.02           6259.98
524288               1888.30           3601.65
1048576              2050.03           1955.06
2097152              2187.80           1043.23
4194304              2221.14            529.56
Warning: Permanently added '[osu-mbwmr-single-node-worker-0.osu-mbwmr-single-node.osutmp.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-mbwmr-single-node-worker-1.osu-mbwmr-single-node.osutmp.svc]:2222' (ECDSA) to the list of known hosts.
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       0.05          46871.85
2                       0.09          46907.46
4                       0.19          46924.69
8                       0.38          46887.11
16                      0.75          46902.34
32                      1.50          46889.35
64                      3.00          46829.18
128                     5.99          46778.92
256                     8.38          32722.29
512                    23.17          45256.81
1024                   33.25          32465.82
2048                   52.18          25477.98
4096                  103.29          25216.63
8192                  206.29          25181.46
16384                 407.79          24889.39
32768                1249.78          38140.40
65536                 620.30           9464.98
131072               1198.73           9145.58
262144               1642.10           6264.10
524288               1880.95           3587.62
1048576              2046.49           1951.69
2097152              2188.30           1043.46
4194304              2209.02            526.67
Warning: Permanently added '[osu-mbwmr-single-node-worker-0.osu-mbwmr-single-node.osutmp.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-mbwmr-single-node-worker-1.osu-mbwmr-single-node.osutmp.svc]:2222' (ECDSA) to the list of known hosts.
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       0.05          46553.10
2                       0.09          46509.98
4                       0.19          46546.88
8                       0.37          46721.48
16                      0.74          46522.38
32                      1.49          46475.49
64                      2.97          46420.51
128                     5.93          46342.17
256                    11.86          46339.49
512                    16.55          32327.32
1024                   33.10          32323.17
2048                   51.88          25329.89
4096                  102.54          25033.98
8192                  204.21          24928.07
16384                 405.22          24732.83
32768                 762.82          23279.37
65536                 617.89           9428.27
131072               1192.98           9101.72
262144               1639.31           6253.47
524288               1876.71           3579.53
1048576              2038.00           1943.59
2097152              2179.70           1039.36
4194304              2214.26            527.92
Warning: Permanently added '[osu-mbwmr-single-node-worker-0.osu-mbwmr-single-node.osutmp.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-mbwmr-single-node-worker-1.osu-mbwmr-single-node.osutmp.svc]:2222' (ECDSA) to the list of known hosts.
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       0.05          46264.34
2                       0.09          46237.76
4                       0.19          46359.95
8                       0.37          46437.42
16                      0.74          46415.87
32                      1.48          46362.10
64                      2.96          46256.97
128                     5.91          46203.91
256                    11.83          46229.89
512                    16.47          32161.46
1024                   32.94          32172.81
2048                   51.70          25243.24
4096                  102.27          24968.14
8192                  203.72          24867.99
16384                 403.47          24625.56
32768                1205.17          36779.00
65536                 618.57           9438.67
131072               1195.10           9117.89
262144               1640.97           6259.80
524288               1883.35           3592.21
1048576              2048.21           1953.32
2097152              2187.21           1042.94
4194304              2210.73            527.08
Warning: Permanently added '[osu-mbwmr-single-node-worker-0.osu-mbwmr-single-node.osutmp.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-mbwmr-single-node-worker-1.osu-mbwmr-single-node.osutmp.svc]:2222' (ECDSA) to the list of known hosts.
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       0.05          53317.41
2                       0.11          53381.54
4                       0.21          53358.75
8                       0.43          53325.42
16                      0.85          53349.48
32                      1.71          53329.06
64                      3.41          53282.44
128                     6.81          53234.28
256                     9.68          37801.98
512                    18.85          36819.83
1024                   37.67          36791.63
2048                   59.06          28838.79
4096                  116.75          28502.58
8192                  231.99          28319.20
16384                 460.87          28129.44
32768                1425.62          43506.57
65536                 703.55          10735.33
131072               1355.94          10344.99
262144               1856.81           7083.16
524288               2100.29           4005.99
1048576              2270.52           2165.33
2097152              2421.77           1154.79
4194304              2439.31            581.58
Warning: Permanently added '[osu-mbwmr-single-node-worker-0.osu-mbwmr-single-node.osutmp.svc]:2222' (ECDSA) to the list of known hosts.
