Warning: Permanently added '[osu-mbwmr-single-node-worker-0.osu-mbwmr-single-node.osutmp.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-mbwmr-single-node-worker-1.osu-mbwmr-single-node.osutmp.svc]:2222' (ECDSA) to the list of known hosts.
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       0.08          84668.94
2                       0.17          84885.10
4                       0.34          84754.25
8                       0.68          84770.49
16                      1.36          84787.51
32                      2.71          84710.80
64                      5.39          84262.69
128                    10.80          84410.36
256                    17.22          67271.86
512                    34.25          66895.59
1024                   68.34          66740.76
2048                  111.23          54309.30
4096                  218.39          53318.74
8192                  431.79          52708.45
16384                 832.08          50786.13
32768                1870.95          57096.92
65536                1180.10          18006.94
131072               1977.66          15088.31
262144               2631.69          10039.11
524288               2843.01           5422.60
1048576              2920.55           2785.26
2097152              3098.26           1477.37
4194304              3130.41            746.35
Warning: Permanently added '[osu-mbwmr-single-node-worker-0.osu-mbwmr-single-node.osutmp.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-mbwmr-single-node-worker-1.osu-mbwmr-single-node.osutmp.svc]:2222' (ECDSA) to the list of known hosts.
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       0.10          95460.13
2                       0.19          95659.91
4                       0.38          95636.40
8                       0.76          95395.36
16                      1.52          95211.33
32                      3.05          95428.76
64                      6.10          95251.65
128                    12.18          95163.54
256                    19.32          75452.37
512                    38.35          74895.97
1024                   76.57          74778.58
2048                  124.29          60688.98
4096                  243.53          59455.26
8192                  483.86          59064.68
16384                 925.68          56499.12
32768                2108.50          64346.46
65536                1326.27          20237.21
131072               2230.07          17014.08
262144               2997.97          11436.37
524288               3109.75           5931.37
1048576              3181.51           3034.13
2097152              3366.02           1605.05
4194304              3147.91            750.52
Warning: Permanently added '[osu-mbwmr-single-node-worker-1.osu-mbwmr-single-node.osutmp.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-mbwmr-single-node-worker-0.osu-mbwmr-single-node.osutmp.svc]:2222' (ECDSA) to the list of known hosts.
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       0.08          84612.17
2                       0.17          84185.44
4                       0.34          84667.37
8                       0.68          84625.69
16                      1.36          84689.52
32                      2.71          84684.82
64                      5.41          84519.06
128                    10.79          84304.69
256                    17.09          66739.91
512                    33.94          66279.81
1024                   67.70          66117.25
2048                  108.05          52756.83
