# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
[1721028644.410575954] thin004.hpc.rd.areasciencepark.it:rank1.osu_mbw_mr: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721028644.417001922] thin003.hpc.rd.areasciencepark.it:rank0.osu_mbw_mr: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721028644.437013445] thin004.hpc.rd.areasciencepark.it:rank1.osu_mbw_mr: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721028644.444047090] thin003.hpc.rd.areasciencepark.it:rank0.osu_mbw_mr: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721028644.462824566] thin004.hpc.rd.areasciencepark.it:rank1.osu_mbw_mr: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721028644.470504266] thin003.hpc.rd.areasciencepark.it:rank0.osu_mbw_mr: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       0.38         381366.05
2                       0.75         374967.01
4                       1.61         402748.25
8                       3.19         398411.53
16                      6.18         386058.02
32                     12.16         379905.20
64                     22.26         347775.07
128                    45.81         357910.61
256                    89.70         350386.67
512                   170.55         333097.96
1024                  325.27         317646.05
2048                  602.42         294149.90
4096                 1034.12         252470.83
8192                 1472.58         179758.05
16384                1726.19         105358.29
32768                1925.66          58766.53
65536                1488.56          22713.57
131072               2793.83          21315.27
262144               3529.31          13463.24
524288               3746.03           7144.99
1048576              4542.49           4332.05
2097152              3929.19           1873.59
4194304              3814.62            909.48
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       0.37         368027.52
2                       0.69         347079.49
4                       1.21         301443.12
8                       2.83         353323.12
16                      5.98         373966.53
32                     12.28         383814.20
64                     19.84         310063.86
128                    40.94         319805.25
256                    83.59         326541.19
512                   162.83         318023.28
1024                  304.86         297712.22
2048                  567.93         277308.57
4096                  981.46         239614.63
8192                 1425.40         173998.60
16384                1723.42         105189.32
32768                1922.40          58667.04
65536                1593.55          24315.68
131072               2513.11          19173.54
262144               2889.23          11021.54
524288               3099.26           5911.37
1048576              3716.04           3543.89
2097152              3812.68           1818.03
4194304              3831.61            913.53
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       0.36         358672.46
2                       0.67         334158.90
4                       1.38         345303.25
8                       2.84         354530.29
16                      6.04         377484.11
32                     11.98         374357.63
64                     19.83         309878.85
128                    40.65         317573.53
256                    81.58         318673.09
512                   160.58         313630.19
1024                  302.57         295481.74
2048                  562.18         274501.59
4096                  977.25         238585.57
8192                 1428.02         174319.26
16384                1726.09         105352.39
32768                1923.48          58699.91
65536                1690.75          25798.80
131072               2438.66          18605.48
262144               3633.27          13859.81
524288               3577.88           6824.27
1048576              4111.39           3920.93
2097152              4072.85           1942.09
4194304              4027.19            960.16
[1721028698.307559922] thin004.hpc.rd.areasciencepark.it:rank1.osu_mbw_mr: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721028698.322264212] thin003.hpc.rd.areasciencepark.it:rank0.osu_mbw_mr: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721028698.334161970] thin004.hpc.rd.areasciencepark.it:rank1.osu_mbw_mr: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721028698.349512741] thin003.hpc.rd.areasciencepark.it:rank0.osu_mbw_mr: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721028698.360136696] thin004.hpc.rd.areasciencepark.it:rank1.osu_mbw_mr: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721028698.376181608] thin003.hpc.rd.areasciencepark.it:rank0.osu_mbw_mr: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       0.35         349327.65
2                       0.63         313074.57
4                       1.35         337426.46
8                       2.83         353267.34
16                      5.90         368937.58
32                     11.71         365818.03
64                     18.78         293418.06
128                    42.83         334596.71
256                    83.26         325226.78
512                   162.74         317846.29
1024                  305.46         298302.06
2048                  562.75         274778.32
4096                  975.30         238109.80
8192                 1402.19         171165.40
16384                1709.60         104345.88
32768                1927.46          58821.53
65536                1563.27          23853.62
131072               2597.67          19818.66
262144               3342.03          12748.85
524288               4438.97           8466.66
1048576              3957.80           3774.45
2097152              4099.73           1954.91
4194304              4178.18            996.16
[1721028715.381190992] thin003.hpc.rd.areasciencepark.it:rank0.osu_mbw_mr: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721028715.382609684] thin004.hpc.rd.areasciencepark.it:rank1.osu_mbw_mr: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721028715.407917613] thin003.hpc.rd.areasciencepark.it:rank0.osu_mbw_mr: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721028715.409854043] thin004.hpc.rd.areasciencepark.it:rank1.osu_mbw_mr: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721028715.434001974] thin003.hpc.rd.areasciencepark.it:rank0.osu_mbw_mr: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721028715.436300237] thin004.hpc.rd.areasciencepark.it:rank1.osu_mbw_mr: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       0.39         385537.85
2                       0.60         301401.29
4                       1.21         302692.25
8                       3.06         382854.42
16                      5.99         374267.34
32                     11.99         374564.67
64                     19.85         310190.96
128                    43.34         338592.15
256                    82.66         322901.04
512                   158.51         309595.86
1024                  305.28         298120.17
2048                  566.55         276637.35
4096                  973.28         237617.88
8192                 1434.53         175113.53
16384                2240.01         136719.20
32768                2585.19          78893.88
65536                1662.06          25361.03
131072               2632.88          20087.26
262144               3275.28          12494.20
524288               3417.79           6518.92
1048576              3406.78           3248.96
2097152              3725.53           1776.47
4194304              3664.36            873.65
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       0.36         358372.40
2                       0.69         343710.08
4                       1.38         345047.67
8                       2.84         354862.86
16                      6.02         376425.35
32                     12.21         381420.76
64                     20.00         312523.33
128                    40.47         316146.10
256                    80.31         313724.12
512                   154.10         300970.85
1024                  291.92         285080.44
2048                  571.69         279147.11
4096                  980.61         239406.72
8192                 1430.85         174664.81
16384                1749.57         106785.18
32768                1920.20          58599.82
65536                1719.75          26241.37
131072               2806.91          21415.01
262144               3731.45          14234.34
524288               3630.87           6925.33
1048576              4109.17           3918.81
2097152              4080.38           1945.68
4194304              3962.36            944.70
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       0.36         361137.21
2                       0.71         354008.42
4                       1.39         347661.87
8                       2.83         354302.47
16                      5.95         372058.74
32                     12.10         378115.64
64                     19.76         308691.79
128                    40.64         317466.66
256                    82.84         323575.17
512                   163.21         318763.99
1024                  301.98         294904.48
2048                  566.39         276557.56
4096                  978.53         238900.10
8192                 1424.74         173918.71
16384                2254.49         137603.03
32768                2580.17          78740.63
65536                1792.07          27344.79
131072               2609.84          19911.54
262144               3179.87          12130.23
524288               3154.16           6016.09
1048576              4520.82           4311.39
2097152              3862.31           1841.69
4194304              3922.19            935.12
[1721028769.674514596] thin003.hpc.rd.areasciencepark.it:rank0.osu_mbw_mr: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721028769.676458920] thin004.hpc.rd.areasciencepark.it:rank1.osu_mbw_mr: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721028769.701817945] thin003.hpc.rd.areasciencepark.it:rank0.osu_mbw_mr: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721028769.703343442] thin004.hpc.rd.areasciencepark.it:rank1.osu_mbw_mr: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721028769.729309204] thin004.hpc.rd.areasciencepark.it:rank1.osu_mbw_mr: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
