Warning: Permanently added '[osu-latency-single-node-worker-0.osu-latency-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latency-single-node-worker-1.osu-latency-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
Warning: Permanently added '[osu-latency-single-node-worker-0.osu-latency-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      22.91
2                      22.92
4                      22.97
8                      22.96
16                     22.96
32                     22.98
64                     23.01
128                    22.98
256                    23.04
512                    23.02
1024                   23.20
2048                   22.20
4096                   22.63
8192                   23.27
16384                  33.92
32768                  50.92
65536                 125.10
131072                133.62
262144                178.53
524288                267.66
1048576               449.98
2097152               796.76
4194304              1732.69
Warning: Permanently added '[osu-latency-single-node-worker-0.osu-latency-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latency-single-node-worker-1.osu-latency-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      22.99
2                      23.01
4                      23.02
8                      22.98
16                     23.02
32                     23.01
64                     23.01
128                    22.99
256                    23.05
512                    23.07
1024                   23.19
2048                   22.11
4096                   22.71
8192                   23.44
16384                  25.25
32768                  58.50
65536                 116.79
131072                133.89
262144                178.11
524288                265.19
1048576               449.25
2097152               796.97
4194304              1730.14
Warning: Permanently added '[osu-latency-single-node-worker-1.osu-latency-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latency-single-node-worker-0.osu-latency-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      23.01
2                      23.01
4                      23.04
8                      23.01
16                     23.04
32                     23.01
64                     23.07
128                    23.05
256                    23.14
512                    23.14
1024                   23.34
2048                   22.34
4096                   22.75
8192                   23.51
16384                  25.20
32768                  44.19
65536                 124.24
131072                134.87
262144                177.28
524288                263.83
1048576               446.84
2097152               797.96
4194304              1730.24
Warning: Permanently added '[osu-latency-single-node-worker-0.osu-latency-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latency-single-node-worker-1.osu-latency-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      22.97
2                      22.93
4                      22.96
8                      22.91
16                     22.94
32                     22.95
64                     22.96
128                    22.99
256                    22.98
512                    23.04
1024                   23.14
2048                   22.17
4096                   22.59
8192                   23.21
16384                  25.15
32768                  58.44
65536                 116.65
131072                134.51
262144                177.84
524288                266.71
1048576               447.55
2097152               797.42
4194304              1727.72
Warning: Permanently added '[osu-latency-single-node-worker-1.osu-latency-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latency-single-node-worker-0.osu-latency-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      23.03
2                      23.01
4                      23.02
8                      23.01
16                     23.03
32                     22.96
64                     22.98
128                    23.02
256                    23.09
512                    23.10
1024                   23.23
2048                   22.21
4096                   22.79
8192                   23.55
16384                  25.37
32768                  58.55
65536                 116.39
131072                133.82
262144                178.76
524288                267.83
1048576               444.02
2097152               799.50
4194304              1728.27
Warning: Permanently added '[osu-latency-single-node-worker-0.osu-latency-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latency-single-node-worker-1.osu-latency-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      22.91
2                      22.86
4                      22.89
8                      22.89
16                     22.84
32                     22.83
64                     22.88
128                    22.84
256                    22.95
512                    22.97
1024                   23.14
2048                   22.16
4096                   22.82
8192                   23.58
16384                  34.08
32768                  36.22
65536                 117.33
131072                134.15
262144                177.77
524288                267.70
1048576               444.25
2097152               799.52
4194304              1732.17
Warning: Permanently added '[osu-latency-single-node-worker-1.osu-latency-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latency-single-node-worker-0.osu-latency-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      23.12
2                      23.11
4                      23.14
8                      23.14
16                     23.14
32                     23.14
64                     23.15
128                    23.15
256                    23.20
512                    23.25
1024                   23.36
2048                   22.29
4096                   22.97
8192                   23.73
16384                  34.02
32768                  52.12
65536                 125.90
131072                134.78
262144                178.70
524288                266.82
1048576               451.62
2097152               803.38
4194304              1732.15
Warning: Permanently added '[osu-latency-single-node-worker-1.osu-latency-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latency-single-node-worker-0.osu-latency-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      22.88
2                      22.82
4                      22.84
8                      22.88
16                     22.87
32                     22.88
64                     22.93
128                    22.88
256                    22.94
512                    22.97
1024                   23.16
2048                   22.14
4096                   23.34
8192                   23.33
16384                  25.12
32768                  44.07
65536                 123.94
131072                134.04
262144                178.21
524288                267.44
1048576               442.72
2097152               799.15
4194304              1725.96
Warning: Permanently added '[osu-latency-single-node-worker-0.osu-latency-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.
