Warning: Permanently added '[osu-latency-multinode-2-worker-0.osu-latency-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latency-multinode-2-worker-1.osu-latency-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Multi Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
524288               1065.75
1048576              1861.92
2097152              3301.16
4194304              6466.29
Warning: Permanently added '[osu-latency-multinode-2-worker-0.osu-latency-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latency-multinode-2-worker-1.osu-latency-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Multi Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      57.64
2                      57.79
4                      57.72
8                      57.64
16                     57.01
32                     58.46
64                     58.94
128                    58.93
256                    58.86
512                    35.64
1024                   44.21
2048                   58.54
4096                   60.69
8192                   71.17
16384                  80.30
32768                  99.74
65536                 250.65
131072                326.16
262144                434.24
524288                650.54
1048576              1406.45
2097152              2526.89
4194304              5067.60
Warning: Permanently added '[osu-latency-multinode-2-worker-1.osu-latency-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latency-multinode-2-worker-0.osu-latency-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Multi Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      68.04
2                      68.00
4                      67.11
8                      67.87
16                     67.98
32                     67.66
64                     68.88
128                    68.46
256                    68.13
512                    42.21
1024                   43.52
2048                   75.77
4096                   76.45
8192                   80.98
16384                  91.93
32768                 124.24
65536                 302.87
131072                428.20
262144                624.95
524288               1061.17
1048576              1919.40
2097152              3308.99
4194304              6470.57
Warning: Permanently added '[osu-latency-multinode-2-worker-0.osu-latency-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latency-multinode-2-worker-1.osu-latency-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Multi Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      66.36
2                      67.58
4                      66.91
8                      67.53
16                     67.75
32                     67.16
64                     67.75
128                    67.76
256                    68.60
512                    41.63
1024                   42.54
2048                   74.96
4096                   76.75
8192                   81.54
16384                  82.46
32768                 121.21
65536                 296.26
131072                426.84
262144                650.65
524288               1020.54
1048576              1835.54
2097152              3305.43
4194304              6482.92
Warning: Permanently added '[osu-latency-multinode-2-worker-0.osu-latency-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latency-multinode-2-worker-1.osu-latency-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Multi Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      67.51
2                      67.15
4                      67.30
8                      67.55
16                     66.80
32                     67.70
64                     68.30
128                    68.48
256                    68.48
512                    42.15
1024                   43.04
2048                   74.70
4096                   76.64
8192                   80.23
16384                  92.00
32768                 124.36
65536                 298.61
131072                426.81
262144                651.49
524288                975.48
1048576              1745.80
2097152              3292.90
4194304              6448.89
Warning: Permanently added '[osu-latency-multinode-2-worker-0.osu-latency-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latency-multinode-2-worker-1.osu-latency-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Multi Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      67.57
2                      67.50
4                      67.47
8                      67.60
16                     67.48
32                     67.67
64                     68.23
128                    68.31
256                    68.27
512                    42.80
1024                   43.49
2048                   74.06
4096                   75.71
8192                   80.69
16384                  90.98
32768                 123.51
65536                 296.44
131072                427.43
262144                650.99
524288                986.88
1048576              1758.59
2097152              3311.92
4194304              6461.56
Warning: Permanently added '[osu-latency-multinode-2-worker-0.osu-latency-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latency-multinode-2-worker-1.osu-latency-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Multi Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      67.67
2                      67.60
4                      67.67
8                      67.70
16                     67.63
32                     67.22
64                     68.46
128                    68.51
256                    68.44
512                    42.34
1024                   42.71
2048                   74.69
4096                   76.45
8192                   81.42
16384                  91.66
32768                 123.35
65536                 297.74
131072                428.89
262144                652.85
524288                978.19
1048576              1755.64
2097152              3282.83
4194304              6466.61
Warning: Permanently added '[osu-latency-multinode-2-worker-0.osu-latency-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latency-multinode-2-worker-1.osu-latency-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Multi Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      68.27
2                      68.32
4                      68.21
8                      68.25
16                     68.19
32                     68.31
64                     69.16
128                    69.12
256                    69.13
512                    41.76
1024                   42.05
2048                   78.84
4096                   76.84
8192                   81.74
16384                  92.01
32768                 127.26
65536                 299.44
131072                424.71
262144                649.46
524288                974.68
1048576              1749.52
2097152              3297.99
4194304              6440.25
Warning: Permanently added '[osu-latency-multinode-2-worker-0.osu-latency-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latency-multinode-2-worker-1.osu-latency-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Multi Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      67.61
2                      67.06
4                      67.50
8                      66.84
16                     66.83
32                     67.08
64                     68.76
128                    68.18
256                    67.90
512                    42.63
1024                   43.03
2048                   74.77
4096                   76.13
8192                   81.05
16384                  91.43
32768                 123.61
65536                 296.67
131072                429.46
262144                650.57
524288               1055.25
1048576              1923.83
2097152              3304.51
4194304              6467.63
Warning: Permanently added '[osu-latency-multinode-2-worker-1.osu-latency-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latency-multinode-2-worker-0.osu-latency-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Multi Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      67.75
2                      67.82
4                      67.69
8                      67.80
16                     67.71
32                     67.70
64                     67.26
128                    67.88
256                    67.62
512                    44.05
1024                   45.12
2048                   74.15
4096                   75.88
8192                   79.49
16384                  91.32
32768                 122.46
65536                 296.52
131072                427.55
262144                650.61
524288               1021.54
1048576              1803.36
2097152              3306.99
4194304              6469.75
Warning: Permanently added '[osu-latency-multinode-2-worker-1.osu-latency-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latency-multinode-2-worker-0.osu-latency-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.

