Warning: Permanently added '[osu-mbwmr-multinode-2-worker-0.osu-mbwmr-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-mbwmr-multinode-2-worker-1.osu-mbwmr-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
Warning: Permanently added '[osu-mbwmr-multinode-2-worker-1.osu-mbwmr-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       0.05          51023.36
2                       0.12          60784.94
4                       0.29          73698.49
8                       0.65          80709.60
16                      1.39          86813.12
32                      2.78          86855.64
64                      5.57          87027.14
128                    11.14          87055.90
256                    21.55          84190.91
512                    42.81          83613.73
1024                   87.70          85646.04
2048                  152.81          74614.65
4096                  301.79          73678.59
8192                  537.48          65610.55
16384                 866.67          52897.20
32768                1243.75          37956.16
65536                 961.62          14673.09
131072               1247.07           9514.40
262144               1459.09           5565.98
524288               1550.48           2957.31
1048576              1614.49           1539.69
2097152              1667.69            795.21
4194304              1680.93            400.76
Warning: Permanently added '[osu-mbwmr-multinode-2-worker-0.osu-mbwmr-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-mbwmr-multinode-2-worker-1.osu-mbwmr-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       0.05          50264.51
2                       0.11          55233.38
4                       0.27          67080.14
8                       0.63          78266.78
16                      1.25          78083.36
32                      2.51          78337.06
64                      5.00          78177.21
128                    10.00          78129.37
256                    19.25          75210.03
512                    39.27          76697.86
1024                   80.59          78701.67
2048                  144.88          70744.58
4096                  275.96          67372.31
8192                  483.49          59019.65
16384                 778.83          47536.05
32768                1102.26          33638.41
65536                 875.44          13358.17
131072               1137.90           8681.48
262144               1324.82           5053.77
524288               1417.17           2703.03
1048576              1477.97           1409.50
2097152              1522.19            725.84
4194304              1558.56            371.59
Warning: Permanently added '[osu-mbwmr-multinode-2-worker-0.osu-mbwmr-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-mbwmr-multinode-2-worker-1.osu-mbwmr-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       0.07          72104.61
2                       0.16          77653.99
4                       0.31          77373.50
8                       0.62          77721.88
16                      1.24          77615.54
32                      2.47          77341.72
64                      4.98          77834.06
128                     9.93          77553.00
256                    19.68          76867.27
512                    40.03          78185.27
1024                   79.74          77871.88
2048                  126.24          61640.10
4096                  245.37          59904.44
8192                  479.56          58539.47
16384                 794.65          48501.88
32768                1161.82          35455.92
65536                 910.70          13896.16
131072               1186.64           9053.35
262144               1380.03           5264.41
524288               1509.52           2879.18
1048576              1621.48           1546.36
2097152              1677.77            800.02
4194304              1502.90            358.32
Warning: Permanently added '[osu-mbwmr-multinode-2-worker-0.osu-mbwmr-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-mbwmr-multinode-2-worker-1.osu-mbwmr-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       0.07          74384.69
2                       0.15          77290.02
4                       0.31          77197.56
8                       0.62          77175.31
16                      1.24          77367.15
32                      2.47          77241.22
64                      4.94          77211.79
128                     9.86          77031.44
256                    19.85          77526.02
512                    39.47          77085.05
1024                   79.95          78074.17
2048                  131.44          64178.28
4096                  272.29          66475.99
8192                  478.88          58456.85
16384                 789.89          48211.31
32768                1159.34          35380.11
65536                 928.60          14169.39
131072               1184.05           9033.57
262144               1365.68           5209.65
524288               1499.49           2860.05
1048576              1624.55           1549.29
2097152              1674.55            798.49
4194304              1698.23            404.89
Warning: Permanently added '[osu-mbwmr-multinode-2-worker-0.osu-mbwmr-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-mbwmr-multinode-2-worker-1.osu-mbwmr-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       0.07          71859.99
2                       0.15          77110.52
4                       0.31          77361.72
8                       0.62          77257.69
16                      1.24          77286.42
32                      2.48          77416.87
64                      4.97          77639.51
128                     9.94          77685.35
256                    19.77          77229.23
512                    39.86          77859.20
1024                   80.08          78207.28
2048                  129.89          63424.78
4096                  252.96          61757.18
8192                  482.65          58916.64
16384                 786.96          48031.93
32768                1121.86          34236.39
65536                 911.21          13903.94
131072               1206.87           9207.66
262144               1373.83           5240.75
524288               1498.18           2857.56
1048576              1605.42           1531.05
2097152              1651.15            787.33
4194304              1680.78            400.73
Warning: Permanently added '[osu-mbwmr-multinode-2-worker-1.osu-mbwmr-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-mbwmr-multinode-2-worker-0.osu-mbwmr-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       0.08          75440.46
2                       0.16          77703.50
4                       0.31          78354.25
8                       0.63          78193.90
16                      1.26          78737.80
32                      2.51          78559.29
64                      5.03          78604.60
128                    10.05          78488.73
256                    20.09          78488.99
512                    39.09          76354.57
1024                   77.69          75868.67
2048                  134.25          65551.57
4096                  257.80          62939.83
8192                  465.33          56803.44
16384                 813.92          49677.53
32768                1188.21          36261.31
65536                 981.84          14981.62
131072               1264.97           9650.98
262144               1436.33           5479.16
524288               1548.81           2954.12
1048576              1637.51           1561.65
2097152              1680.31            801.23
4194304              1704.04            406.28
Warning: Permanently added '[osu-mbwmr-multinode-2-worker-1.osu-mbwmr-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-mbwmr-multinode-2-worker-0.osu-mbwmr-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       0.05          54123.26
2                       0.14          70254.64
4                       0.31          77557.00
8                       0.63          78137.69
16                      1.25          78106.82
32                      2.50          78087.60
64                      4.99          78027.40
128                     9.99          78015.77
256                    20.00          78123.13
512                    38.58          75350.79
1024                   78.17          76338.58
2048                  137.51          67141.80
4096                  269.25          65735.66
8192                  477.55          58294.15
16384                 777.43          47450.63
32768                1117.16          34092.96
65536                 875.14          13353.62
131072               1136.54           8671.12
262144               1330.76           5076.44
524288               1413.72           2696.46
1048576              1466.08           1398.16
2097152              1517.12            723.42
4194304              1541.72            367.58
Warning: Permanently added '[osu-mbwmr-multinode-2-worker-1.osu-mbwmr-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-mbwmr-multinode-2-worker-0.osu-mbwmr-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       0.07          73694.56
2                       0.16          78283.83
4                       0.31          77539.07
8                       0.62          77726.10
16                      1.25          77919.29
32                      2.49          77912.21
64                      4.98          77885.76
128                    10.00          78140.66
256                    19.85          77551.52
512                    39.98          78095.15
1024                   79.90          78025.64
2048                  133.61          65240.51
4096                  279.34          68197.02
8192                  493.67          60262.50
16384                 810.10          49444.80
32768                1154.07          35219.34
65536                 971.37          14822.00
131072               1270.09           9690.00
262144               1447.87           5523.17
524288               1554.49           2964.95
1048576              1626.06           1550.73
2097152              1666.14            794.48
4194304              1680.83            400.74
Warning: Permanently added '[osu-mbwmr-multinode-2-worker-1.osu-mbwmr-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-mbwmr-multinode-2-worker-0.osu-mbwmr-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       0.08          75615.98
2                       0.15          77279.60
4                       0.31          77192.79
8                       0.62          77376.58
16                      1.24          77355.04
32                      2.47          77120.37
64                      4.94          77225.74
128                     9.88          77224.38
256                    19.69          76903.54
512                    39.53          77207.85
1024                   80.20          78321.63
2048                  128.73          62856.39
4096                  252.98          61763.70
8192                  451.38          55099.84
16384                 791.70          48321.33
32768                1123.37          34282.48
65536                 903.34          13783.84
131072               1182.72           9023.45
262144               1365.89           5210.45
524288               1500.27           2861.54
1048576              1608.26           1533.76
2097152              1656.30            789.79
4194304              1682.74            401.20
Warning: Permanently added '[osu-mbwmr-multinode-2-worker-1.osu-mbwmr-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-mbwmr-multinode-2-worker-0.osu-mbwmr-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       0.07          74845.69
2                       0.16          77572.09
4                       0.31          77460.44
8                       0.62          77612.23
16                      1.24          77632.93
32                      2.48          77430.75
64                      4.97          77709.32
128                     9.97          77886.74
256                    19.77          77225.73
512                    39.36          76868.82
1024                   78.63          76783.35
2048                  126.55          61790.45
4096                  273.16          66689.91
8192                  483.28          58993.73
16384                 795.24          48537.57
32768                1154.93          35245.68
65536                 907.28          13843.96
131072               1186.41           9051.60
262144               1374.50           5243.29
524288               1509.97           2880.04
1048576              1613.86           1539.09
2097152              1653.16            788.29
4194304              1686.14            402.01
Warning: Permanently added '[osu-mbwmr-multinode-2-worker-1.osu-mbwmr-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-mbwmr-multinode-2-worker-0.osu-mbwmr-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
