Warning: Permanently added '[osu-latency-multinode-2-worker-0.osu-latency-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latency-multinode-2-worker-1.osu-latency-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
4194304              3632.74
Warning: Permanently added '[osu-latency-multinode-2-worker-1.osu-latency-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latency-multinode-2-worker-0.osu-latency-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      31.65
2                      31.36
4                      34.46
8                      38.69
16                     38.73
32                     33.16
64                     30.58
128                    30.86
256                    31.00
512                    31.26
1024                   32.47
2048                   66.84
4096                   70.39
8192                   75.57
16384                  85.46
32768                 113.17
65536                 275.65
131072                346.62
262144                456.07
524288                650.60
1048576              1257.11
2097152              2283.95
4194304              3608.59
Warning: Permanently added '[osu-latency-multinode-2-worker-0.osu-latency-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latency-multinode-2-worker-1.osu-latency-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      39.24
2                      35.34
4                      35.98
8                      35.97
16                     35.99
32                     36.09
64                     36.15
128                    38.03
256                    39.77
512                    40.07
1024                   41.78
2048                   68.30
4096                   71.03
8192                   76.20
16384                  86.58
32768                 119.26
65536                 276.86
131072                348.87
262144                453.92
524288                653.83
1048576              1263.04
2097152              2282.16
4194304              3592.85
Warning: Permanently added '[osu-latency-multinode-2-worker-0.osu-latency-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latency-multinode-2-worker-1.osu-latency-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      38.62
2                      38.58
4                      38.60
8                      38.63
16                     38.67
32                     38.75
64                     38.82
128                    39.05
256                    39.15
512                    39.47
1024                   41.19
2048                   67.54
4096                   69.35
8192                   74.11
16384                  82.55
32768                 111.68
65536                 270.34
131072                349.53
262144                455.53
524288                689.90
1048576              1255.04
2097152              2287.15
4194304              3599.00
Warning: Permanently added '[osu-latency-multinode-2-worker-0.osu-latency-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latency-multinode-2-worker-1.osu-latency-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      31.62
2                      30.84
4                      30.81
8                      29.74
16                     29.58
32                     29.65
64                     29.68
128                    29.90
256                    30.06
512                    30.29
1024                   31.54
2048                   65.65
4096                   70.97
8192                   76.22
16384                  85.68
32768                 111.81
65536                 271.64
131072                348.37
262144                465.97
524288                659.35
1048576              1256.53
2097152              2291.90
4194304              3607.59
Warning: Permanently added '[osu-latency-multinode-2-worker-1.osu-latency-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latency-multinode-2-worker-0.osu-latency-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      38.96
2                      38.78
4                      38.80
8                      38.82
16                     38.82
32                     31.36
64                     30.67
128                    30.80
256                    30.98
512                    31.25
1024                   32.55
2048                   67.36
4096                   70.25
8192                   75.47
16384                  67.02
32768                 116.92
65536                 277.27
131072                344.63
262144                473.68
524288                664.76
1048576              1251.26
2097152              2279.35
4194304              3600.10
Warning: Permanently added '[osu-latency-multinode-2-worker-1.osu-latency-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latency-multinode-2-worker-0.osu-latency-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      39.01
2                      38.97
4                      38.95
8                      38.99
16                     38.96
32                     39.04
64                     39.04
128                    39.25
256                    39.41
512                    39.71
1024                   41.40
2048                   67.69
4096                   69.39
8192                   74.26
16384                  82.56
32768                 111.52
65536                 247.12
131072                349.66
262144                456.37
524288                691.33
1048576              1263.02
2097152              2285.94
4194304              3630.79
Warning: Permanently added '[osu-latency-multinode-2-worker-0.osu-latency-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latency-multinode-2-worker-1.osu-latency-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      39.18
2                      39.13
4                      39.05
8                      39.06
16                     39.09
32                     39.14
64                     39.21
128                    39.50
256                    39.56
512                    39.86
1024                   41.53
2048                   68.32
4096                   71.15
8192                   76.32
16384                  86.44
32768                 113.34
65536                 273.08
131072                347.77
262144                462.51
524288                679.12
1048576              1188.13
2097152              2300.18
4194304              3618.20
Warning: Permanently added '[osu-latency-multinode-2-worker-1.osu-latency-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latency-multinode-2-worker-0.osu-latency-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      39.32
2                      38.64
4                      30.31
8                      32.99
16                     39.24
32                     39.30
64                     39.39
128                    39.52
256                    39.74
512                    39.96
1024                   41.61
2048                   68.33
4096                   71.22
8192                   76.58
16384                  86.64
32768                 113.77
65536                 274.03
131072                348.22
262144                459.79
524288                663.72
1048576              1258.85
2097152              2297.57
4194304              3619.06
Warning: Permanently added '[osu-latency-multinode-2-worker-1.osu-latency-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latency-multinode-2-worker-0.osu-latency-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      39.30
2                      39.18
4                      39.16
8                      39.22
16                     36.85
32                     37.00
64                     37.05
128                    37.29
256                    37.35
512                    37.62
1024                   39.16
2048                   68.33
4096                   71.15
8192                   76.22
16384                  86.62
32768                 114.44
65536                 274.13
131072                348.70
262144                449.72
524288                644.63
1048576              1260.86
2097152              2296.58
4194304              3636.71
Warning: Permanently added '[osu-latency-multinode-2-worker-1.osu-latency-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latency-multinode-2-worker-0.osu-latency-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      39.17
2                      39.15
4                      39.35
8                      39.12
16                     38.09
32                     29.67
64                     29.70
128                    29.94
256                    30.09
512                    30.33
1024                   31.57
2048                   66.25
4096                   71.01
8192                   76.15
16384                  86.39
32768                 112.99
65536                 272.11
131072                348.10
262144                468.42
524288                663.73
1048576              1248.88
2097152              2255.67
4194304              3615.81
Warning: Permanently added '[osu-latency-multinode-2-worker-1.osu-latency-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latency-multinode-2-worker-0.osu-latency-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      39.24
2                      39.23
4                      39.24
8                      36.09
16                     36.05
32                     36.13
64                     36.17
128                    36.36
256                    36.50
512                    36.74
1024                   38.30
2048                   68.01
4096                   71.10
8192                   76.36
16384                  87.72
32768                 118.99
65536                 280.33
131072                348.56
262144                474.31
524288                680.02
1048576              1261.04
2097152              2209.98
4194304              3572.94
Warning: Permanently added '[osu-latency-multinode-2-worker-0.osu-latency-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latency-multinode-2-worker-1.osu-latency-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      38.77
2                      38.78
4                      38.75
8                      38.79
16                     38.80
32                     38.89
64                     38.90
128                    39.20
256                    39.33
512                    39.59
1024                   41.29
2048                   65.30
4096                   68.23
8192                   74.22
16384                  82.70
32768                 114.28
65536                 281.82
131072                349.89
262144                458.88
524288                685.53
1048576              1254.84
2097152              2283.86
4194304              3577.31
Warning: Permanently added '[osu-latency-multinode-2-worker-0.osu-latency-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latency-multinode-2-worker-1.osu-latency-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      38.78
2                      38.71
4                      38.64
8                      38.68
16                     38.71
32                     38.80
64                     38.84
128                    39.05
256                    39.19
512                    39.43
1024                   41.20
2048                   67.67
4096                   69.36
8192                   74.17
16384                  82.88
32768                 114.09
65536                 281.58
131072                350.43
262144                460.68
524288                696.12
1048576              1256.94
2097152              2261.12
4194304              3596.42
Warning: Permanently added '[osu-latency-multinode-2-worker-0.osu-latency-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latency-multinode-2-worker-1.osu-latency-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      39.11
2                      32.21
4                      30.39
8                      34.19
16                     39.11
32                     39.18
64                     39.25
128                    39.47
256                    39.62
512                    39.90
1024                   41.66
2048                   68.24
4096                   71.09
8192                   76.22
16384                  86.27
32768                 118.80
65536                 279.82
131072                348.11
262144                450.88
524288                650.73
1048576              1258.84
2097152              2297.14
4194304              3567.11
Warning: Permanently added '[osu-latency-multinode-2-worker-0.osu-latency-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latency-multinode-2-worker-1.osu-latency-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      39.06
2                      31.36
4                      30.43
8                      30.48
16                     30.46
32                     34.84
64                     30.79
128                    30.97
256                    31.14
512                    31.31
1024                   32.67
2048                   66.78
4096                   70.93
8192                   76.12
16384                  86.21
32768                 115.55
65536                 272.08
131072                347.52
262144                466.42
524288                663.30
1048576              1259.05
2097152              2297.39
4194304              3635.77
Warning: Permanently added '[osu-latency-multinode-2-worker-0.osu-latency-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latency-multinode-2-worker-1.osu-latency-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      37.04
2                      37.50
4                      37.49
8                      37.54
16                     38.05
32                     38.85
64                     38.95
128                    36.71
256                    30.99
512                    31.24
1024                   32.50
2048                   66.57
4096                   70.41
8192                   75.64
16384                  85.39
32768                 113.78
65536                 269.96
131072                356.83
262144                463.32
524288                681.58
1048576              1258.45
2097152              2289.79
4194304              3638.37
Warning: Permanently added '[osu-latency-multinode-2-worker-0.osu-latency-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latency-multinode-2-worker-1.osu-latency-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      38.84
2                      38.80
4                      38.78
8                      38.78
16                     38.77
32                     38.88
64                     38.90
128                    39.14
256                    39.51
512                    39.58
1024                   33.72
2048                   64.83
4096                   70.36
8192                   75.71
16384                  86.00
32768                 113.67
65536                 270.68
131072                346.57
262144                462.96
524288                639.95
1048576              1261.86
2097152              2292.56
4194304              3637.88
Warning: Permanently added '[osu-latency-multinode-2-worker-1.osu-latency-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latency-multinode-2-worker-0.osu-latency-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      38.75
2                      38.78
4                      38.79
8                      38.79
16                     38.78
32                     38.87
64                     38.95
128                    39.20
256                    39.31
512                    39.59
1024                   41.30
2048                   67.70
4096                   69.51
8192                   72.55
16384                  82.74
32768                 113.96
65536                 281.26
131072                349.57
262144                459.59
524288                695.11
1048576              1257.98
2097152              2286.74
4194304              3617.71
Warning: Permanently added '[osu-latency-multinode-2-worker-0.osu-latency-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latency-multinode-2-worker-1.osu-latency-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      38.69
2                      38.57
4                      38.52
8                      38.57
16                     38.63
32                     38.72
64                     38.73
128                    38.99
256                    39.13
512                    39.43
1024                   41.08
2048                   67.49
4096                   69.29
8192                   74.16
16384                  82.77
32768                 112.66
65536                 268.46
131072                349.54
262144                441.17
