Warning: Permanently added '[osu-multilatency-single-node-worker-0.osu-multilatency-single-node.osutmp.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-multilatency-single-node-worker-1.osu-multilatency-single-node.osutmp.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Multi Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
65536                 106.63
131072                122.37
262144                163.84
524288                231.63
1048576               402.68
2097152               730.08
4194304              1613.85
Warning: Permanently added '[osu-multilatency-single-node-worker-0.osu-multilatency-single-node.osutmp.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-multilatency-single-node-worker-1.osu-multilatency-single-node.osutmp.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Multi Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      24.02
2                      24.02
4                      23.97
8                      24.00
16                     24.01
32                     24.03
64                     24.01
128                    24.01
256                    24.04
512                    18.74
1024                   18.77
2048                   18.56
4096                   20.65
8192                   27.74
16384                  30.64
32768                  44.21
65536                 106.42
131072                122.04
262144                165.73
524288                231.98
1048576               406.13
2097152               731.56
4194304              1614.02
Warning: Permanently added '[osu-multilatency-single-node-worker-1.osu-multilatency-single-node.osutmp.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-multilatency-single-node-worker-0.osu-multilatency-single-node.osutmp.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Multi Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      24.07
2                      24.03
4                      24.04
8                      24.05
16                     24.06
32                     23.99
64                     24.02
128                    24.02
256                    24.04
512                    18.81
1024                   18.89
2048                   18.57
4096                   20.68
8192                   21.21
16384                  30.49
32768                  43.42
65536                 106.12
131072                121.67
262144                165.08
524288                230.78
1048576               404.64
2097152               734.20
4194304              1614.12
Warning: Permanently added '[osu-multilatency-single-node-worker-0.osu-multilatency-single-node.osutmp.svc]:2222' (ECDSA) to the list of known hosts.
