Warning: Permanently added '[osu-mbwmr-multinode-2-worker-1.osu-mbwmr-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-mbwmr-multinode-2-worker-0.osu-mbwmr-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       0.07          74085.76
2                       0.17          85392.67
4                       0.37          93150.85
8                       0.79          98821.78
16                      1.58          98743.78
32                      3.17          98908.04
64                      6.33          98890.09
128                    12.62          98584.26
256                    23.99          93728.44
512                    50.29          98215.43
1024                  100.45          98094.19
2048                  178.96          87381.07
4096                  382.63          93414.49
8192                  633.02          77272.47
16384                 698.25          42617.92
32768                 559.35          17070.06
65536                1004.86          15332.96
131072               1511.24          11529.84
262144               1666.53           6357.29
524288               1772.54           3380.84
1048576              1830.79           1745.98
2097152              1856.18            885.09
4194304              1870.57            445.98
Warning: Permanently added '[osu-mbwmr-multinode-2-worker-0.osu-mbwmr-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-mbwmr-multinode-2-worker-1.osu-mbwmr-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       0.07          73074.46
2                       0.17          86871.05
4                       0.38          95382.09
8                       0.78          98005.13
16                      1.57          98034.67
32                      3.13          97847.44
64                      6.25          97630.78
128                    12.51          97767.67
256                    24.01          93779.18
512                    48.58          94877.43
1024                   98.31          96006.15
2048                  172.10          84033.96
4096                  334.38          81635.79
8192                  623.49          76109.52
16384                 732.62          44715.68
32768                 566.78          17296.73
65536                 998.08          15229.45
131072               1504.04          11474.92
262144               1659.96           6332.26
524288               1767.06           3370.39
1048576              1825.61           1741.04
2097152              1851.97            883.09
4194304              1864.68            444.57
Warning: Permanently added '[osu-mbwmr-multinode-2-worker-1.osu-mbwmr-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-mbwmr-multinode-2-worker-0.osu-mbwmr-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       0.10         102104.94
2                       0.20         100277.27
4                       0.40         100146.03
8                       0.80         100150.02
16                      1.60          99779.11
32                      3.19          99762.54
64                      6.43         100447.32
128                    12.81         100098.25
256                    25.11          98095.29
512                    50.04          97742.15
1024                  101.71          99322.98
2048                  173.92          84921.26
4096                  384.42          93852.62
8192                  687.72          83949.59
16384                1082.43          66066.16
32768                1209.86          36922.15
65536                1099.15          16771.75
131072               1274.35           9722.51
262144               1400.92           5344.09
524288               1474.09           2811.60
1048576              1546.72           1475.06
2097152              1563.20            745.39
4194304              1501.59            358.01
Warning: Permanently added '[osu-mbwmr-multinode-2-worker-0.osu-mbwmr-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-mbwmr-multinode-2-worker-1.osu-mbwmr-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       0.10         100846.67
2                       0.20         100739.54
4                       0.40         100249.58
8                       0.81         100958.54
16                      1.61         100863.82
32                      3.21         100467.52
64                      6.46         100968.22
128                    12.81         100092.50
256                    25.02          97737.84
512                    50.45          98537.06
1024                  101.08          98707.72
2048                  174.25          85081.83
4096                  383.70          93677.64
8192                  719.59          87840.91
16384                1061.10          64764.39
32768                1228.08          37478.12
65536                1101.27          16804.05
131072               1286.33           9813.94
262144               1415.05           5398.00
524288               1513.53           2886.83
1048576              1565.83           1493.30
2097152              1585.46            756.01
4194304              1524.95            363.58
Warning: Permanently added '[osu-mbwmr-multinode-2-worker-0.osu-mbwmr-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-mbwmr-multinode-2-worker-1.osu-mbwmr-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       0.10         100833.86
2                       0.22         110537.05
4                       0.44         110418.40
8                       0.88         110179.99
16                      1.76         110070.07
32                      3.53         110192.74
64                      7.06         110375.56
128                    14.15         110532.88
256                    26.78         104625.79
512                    53.21         103926.19
1024                  110.14         107554.48
2048                  212.63         103824.01
4096                  414.57         101212.57
8192                  739.27          90243.38
16384                1101.79          67247.69
32768                1232.62          37616.61
65536                1091.84          16660.16
131072               1270.67           9694.47
262144               1403.58           5354.22
524288               1480.86           2824.52
1048576              1567.37           1494.76
2097152              1592.22            759.23
4194304              1529.51            364.66
Warning: Permanently added '[osu-mbwmr-multinode-2-worker-0.osu-mbwmr-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-mbwmr-multinode-2-worker-1.osu-mbwmr-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       0.07          72857.01
2                       0.18          91624.20
4                       0.39          97813.33
8                       0.79          98375.47
16                      1.57          98152.17
32                      3.15          98442.88
64                      6.28          98126.05
128                    12.55          98069.07
256                    23.99          93718.96
512                    49.96          97583.16
1024                   99.28          96952.19
2048                  179.90          87839.64
4096                  362.05          88391.40
8192                  716.94          87516.86
16384                1039.46          63443.41
32768                1397.64          42652.52
65536                1275.79          19466.97
131072               1479.55          11288.07
262144               1624.44           6196.75
524288               1722.52           3285.44
1048576              1786.66           1703.89
2097152              1847.43            880.92
4194304              1861.05            443.71
Warning: Permanently added '[osu-mbwmr-multinode-2-worker-0.osu-mbwmr-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-mbwmr-multinode-2-worker-1.osu-mbwmr-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       0.07          70222.65
2                       0.16          80819.98
4                       0.37          91346.36
8                       0.78          97579.08
16                      1.58          98476.39
32                      3.15          98297.20
64                      6.28          98112.22
128                    12.56          98095.91
256                    23.74          92751.20
512                    50.07          97784.06
1024                  100.19          97845.53
2048                  175.33          85612.54
4096                  347.94          84945.16
8192                  701.48          85629.30
16384                1003.84          61269.80
32768                1428.20          43585.19
65536                1286.05          19623.59
131072               1500.92          11451.08
262144               1659.33           6329.83
524288               1779.10           3393.36
1048576              1838.28           1753.12
2097152              1867.07            890.29
4194304              1882.09            448.72
Warning: Permanently added '[osu-mbwmr-multinode-2-worker-1.osu-mbwmr-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-mbwmr-multinode-2-worker-0.osu-mbwmr-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       0.07          72055.03
2                       0.17          84001.00
