
# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
[1721029095.759131630] thin003.hpc.rd.areasciencepark.it:rank1.osu_latency: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       0.48
2                       0.48
4                       0.48
8                       0.48
16                      0.50
32                      0.50
64                      0.53
128                     0.60
256                     0.64
512                     0.79
1024                    0.89
2048                    0.98
4096                    2.22
8192                    2.51
16384                   3.21
32768                   4.30
65536                   6.53
131072                 11.01
262144                 19.95
524288                 41.27
1048576                93.54
2097152               223.34
4194304               518.92
[1721029099.464638002] thin003.hpc.rd.areasciencepark.it:rank0.osu_latency: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721029099.491713360] thin003.hpc.rd.areasciencepark.it:rank0.osu_latency: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721029099.518784401] thin003.hpc.rd.areasciencepark.it:rank0.osu_latency: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721029099.519688863] thin003.hpc.rd.areasciencepark.it:rank1.osu_latency: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721029099.547045123] thin003.hpc.rd.areasciencepark.it:rank1.osu_latency: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721029099.573171063] thin003.hpc.rd.areasciencepark.it:rank1.osu_latency: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       0.48
2                       0.49
4                       0.48
8                       0.48
16                      0.51
32                      0.50
64                      0.53
128                     0.60
256                     0.62
512                     0.78
1024                    0.88
2048                    0.97
4096                    2.19
8192                    2.44
16384                   3.14
32768                   4.20
65536                   6.43
131072                 10.90
262144                 19.75
524288                 41.31
1048576                95.11
2097152               226.25
4194304               515.05
[1721029103.275387625] thin003.hpc.rd.areasciencepark.it:rank0.osu_latency: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721029103.303459591] thin003.hpc.rd.areasciencepark.it:rank0.osu_latency: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721029103.330384390] thin003.hpc.rd.areasciencepark.it:rank0.osu_latency: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721029103.334717648] thin003.hpc.rd.areasciencepark.it:rank1.osu_latency: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721029103.361582646] thin003.hpc.rd.areasciencepark.it:rank1.osu_latency: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721029103.387861291] thin003.hpc.rd.areasciencepark.it:rank1.osu_latency: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       0.48
2                       0.49
4                       0.48
8                       0.48
16                      0.50
32                      0.50
64                      0.53
128                     0.60
256                     0.64
512                     0.78
1024                    0.89
2048                    0.99
4096                    2.22
8192                    2.47
16384                   3.17
32768                   4.23
65536                   6.44
131072                 10.93
262144                 20.36
524288                 41.47
1048576                94.52
2097152               225.17
4194304               519.65
[1721029107.111454694] thin003.hpc.rd.areasciencepark.it:rank0.osu_latency: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721029107.138676659] thin003.hpc.rd.areasciencepark.it:rank0.osu_latency: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721029107.165500735] thin003.hpc.rd.areasciencepark.it:rank0.osu_latency: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721029107.166938674] thin003.hpc.rd.areasciencepark.it:rank1.osu_latency: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721029107.194100637] thin003.hpc.rd.areasciencepark.it:rank1.osu_latency: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721029107.220159876] thin003.hpc.rd.areasciencepark.it:rank1.osu_latency: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       0.49
2                       0.49
4                       0.48
8                       0.48
16                      0.51
32                      0.51
64                      0.53
128                     0.59
256                     0.65
512                     0.78
1024                    0.89
2048                    1.02
4096                    2.22
8192                    2.48
16384                   3.18
32768                   4.22
65536                   6.43
131072                 10.91
262144                 20.15
524288                 41.07
1048576                94.13
2097152               224.12
4194304               532.54

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       0.38
2                       0.38
4                       0.38
8                       0.38
16                      0.40
32                      0.40
64                      0.41
128                     0.46
256                     0.52
512                     0.68
1024                    0.74
2048                    0.86
4096                    2.11
8192                    2.43
16384                   3.11
32768                   4.17
65536                   6.49
131072                 11.03
262144                 20.16
524288                 40.83
1048576                95.99
2097152               225.95
4194304               513.39
