collection,name,n,unit,duration_median,duration_mean,duration_min,duration_max,duration_std,rate_median,rate_mean,rate_min,rate_max,rate_std
assess_arrays,block-wise operation,1,MB/s,0.012363910675048828,0.013668107986450195,0.012237310409545898,0.015938282012939453,0.0018762524127607404,16176.111689613947,14845.307222272764,12548.403889304413,16343.460556821945,1937.2429620151404
assess_arrays,block-wise operation,2,MB/s,0.01969146728515625,0.020729970932006837,0.019147634506225586,0.023030996322631836,0.0017242036475104171,20312.97730167222,19399.248749229384,17367.56510212023,20889.908247932563,1562.1178151083875
assess_arrays,block-wise operation,4,MB/s,0.019990205764770508,0.024954462051391603,0.019748449325561523,0.043406009674072266,0.010348990482378268,40019.59806786332,35200.32311940695,18430.627602192708,40509.50972462001,9503.063159738129
assess_arrays,block-wise operation,6,MB/s,0.030391693115234375,0.03053889274597168,0.029602527618408203,0.03261613845825195,0.0012300294735003304,39481.58029400879,39340.40423040059,36788.90661860125,40534.10869056465,1525.1853879715309
assess_arrays,block-wise operation,8,MB/s,0.03139519691467285,0.031344127655029294,0.029595375061035156,0.03261375427246094,0.0011565451495792818,50962.232100294255,51101.961031518855,49058.11513245547,54061.46428961789,1921.5900597799623
assess_arrays,block-wise operation,10,MB/s,0.044350624084472656,0.048004961013793944,0.04271340370178223,0.06238555908203125,0.008171460817415408,45092.97916960258,42476.27272715494,32057.126640001956,46821.40955010227,6004.838145218804
assess_arrays,block-wise operation,12,MB/s,0.04483151435852051,0.044569969177246094,0.04205465316772461,0.04645228385925293,0.0016370375658104745,53530.6298334732,53904.09211121574,51662.889326849894,57065.2477010987,2020.3609178286779
assess_arrays,block-wise operation,14,MB/s,0.04481840133666992,0.04463605880737305,0.04228329658508301,0.046388864517211914,0.001543849095622371,62472.42267673526,62788.79655534068,60357.461669731805,66217.97111693918,2211.6241478441166
assess_arrays,block-wise operation,16,MB/s,0.04336357116699219,0.043309688568115234,0.042532920837402344,0.044280052185058594,0.000763691721277394,73794.66021552672,73904.82620048677,72267.30417178178,75235.83936859571,1301.3294922181765
assess_arrays,block-wise operation,18,MB/s,0.05797147750854492,0.05851483345031738,0.05602598190307617,0.06073784828186035,0.0020412976242871203,62098.31294138354,61581.56980905253,59269.97833861587,64254.66952507514,2146.379492300608
assess_arrays,block-wise operation,20,MB/s,0.061009883880615234,0.06108875274658203,0.058092594146728516,0.06345057487487793,0.002352171325820054,65559.1610013021,65552.64809893176,63037.36109384927,68851.40625494423,2537.0395229044752
assess_arrays,block-wise operation,22,MB/s,0.06050586700439453,0.06021380424499512,0.05839705467224121,0.06226468086242676,0.0015600012852129417,72719.73198368402,73111.65671292541,70665.59036449081,75345.7594170671,1891.7933653105551
assess_arrays,block-wise operation,26,MB/s,0.08343911170959473,0.08323230743408203,0.0796663761138916,0.08686399459838867,0.0032545921500278367,62320.41657032709,62551.894734725895,59863.24050651545,65271.704998431225,2450.2069514963405
assess_arrays,block-wise operation,28,MB/s,0.0808866024017334,0.08129301071166992,0.07940936088562012,0.08365130424499512,0.0016615770997672565,69230.04089339766,68906.8164466703,66941.96632726186,70517.9179072582,1399.269617088447
assess_arrays,block-wise operation,30,MB/s,0.08342146873474121,0.08367466926574707,0.0809624195098877,0.08796334266662598,0.002710391477847662,71923.25979153252,71764.62533213166,68209.59488476133,74107.76511276624,2277.7821287262145
assess_arrays,block-wise operation,32,MB/s,0.0814206600189209,0.0818821907043457,0.07692480087280273,0.08565044403076172,0.0037184085125125943,78602.6205942419,78289.73183536464,74720.88814509189,83196.53967752705,3584.456629286603
assess_arrays,block-wise operation,34,MB/s,0.08355450630187988,0.08371591567993164,0.08020949363708496,0.08784365653991699,0.0029359075935982944,81379.76069696454,81302.26352953736,77406.22369140766,84773.57753641492,2831.5235502105315
assess_arrays,block-wise operation,36,MB/s,0.08112931251525879,0.08166899681091308,0.07644510269165039,0.08624649047851562,0.003935977728682931,88747.20833663942,88325.85572769612,83481.65774691495,94185.23550216135,4285.0527829182565
assess_arrays,block-wise operation,38,MB/s,0.10488343238830566,0.10630874633789063,0.1021871566772461,0.1113591194152832,0.0042300643415968875,72461.06748168726,71579.35031141926,68247.35604865929,74373.00066978257,2821.1112263997634
assess_arrays,block-wise operation,40,MB/s,0.10600566864013672,0.10571961402893067,0.10242033004760742,0.10867691040039062,0.002535034671296616,75463.95560370179,75703.09933207466,73609.07705719287,78105.65605755801,1822.3952791510774
assess_arrays,block-wise operation,42,MB/s,0.11184120178222656,0.11011948585510253,0.1045687198638916,0.11533164978027344,0.004403397566062001,75103.22795310701,76375.89156422128,72830.27068461038,80326.46170798596,3077.7719121204236
assess_arrays,create random 2D-array,1,MB/s,0.3956873416900635,0.5577790260314941,0.37178516387939453,1.2345702648162842,0.37847065896916654,505.4495783103855,444.43556769499145,161.99968985140097,537.945080737216,158.47345082272568
assess_arrays,create random 2D-array,2,MB/s,0.4908866882324219,0.6406632900238037,0.44806814193725586,1.2865169048309326,0.3615566643846167,814.8363717913943,731.0641076237159,310.91105487849376,892.7042352768119,237.41942231385744
assess_arrays,create random 2D-array,4,MB/s,0.36786413192749023,0.5415804386138916,0.3650655746459961,1.2386343479156494,0.3896729580565786,2174.7159632233133,1871.6188999517399,645.8726107072882,2191.387124835749,685.3712398420853
assess_arrays,create random 2D-array,6,MB/s,0.4712231159210205,0.6462461471557617,0.47006916999816895,1.3204755783081055,0.3771136377293889,2546.37778041668,2192.6099616535853,908.6969056538095,2552.6287376061573,720.5733751752801
