collection,name,n,unit,duration_median,duration_mean,duration_min,duration_max,duration_std,rate_median,rate_mean,rate_min,rate_max,rate_std
assess_dataframes,block-wise operation,2,MB/s,0.04774284362792969,0.046091953913370766,0.04101729393005371,0.049515724182128906,0.004483291962896688,6.032317686069273,6.290026823052595,5.816334200034667,7.021428583053842,0.642552423899877
assess_dataframes,block-wise operation,4,MB/s,0.07545137405395508,0.07038235664367676,0.056482553482055664,0.07921314239501953,0.012183641541502177,7.634055803783029,8.367805226791917,7.271520641456279,10.197839235136446,1.5951884809495014
assess_dataframes,block-wise operation,6,MB/s,0.11020183563232422,0.09853188196818034,0.07415318489074707,0.11124062538146973,0.02111895888605005,7.840159785383584,9.086220865288618,7.766946626173172,11.651556184309097,2.2219471226675984
assess_dataframes,block-wise operation,8,MB/s,0.128371000289917,0.12089069684346516,0.10262012481689453,0.13168096542358398,0.01590909547806229,8.973989432179293,9.649424899724167,8.748417026669804,11.225868240323404,1.3698908467909385
assess_dataframes,block-wise operation,10,MB/s,0.15752673149108887,0.1552147070566813,0.14922356605529785,0.15889382362365723,0.005233312822541391,9.141305646156058,9.284637189954621,9.062655597052437,9.649950326655365,0.3188051496456775
assess_dataframes,block-wise operation,12,MB/s,0.18644022941589355,0.18254828453063965,0.16529417037963867,0.19591045379638672,0.015674808732678396,9.268385934804543,9.514277132982473,8.820356272544505,10.454089191598369,0.8441668518166883
assess_dataframes,block-wise operation,14,MB/s,0.20913219451904297,0.21036601066589355,0.2063581943511963,0.2156076431274414,0.004746556897295922,9.63983572513236,9.586524742398886,9.350317877220997,9.769420624843304,0.2145770815491451
assess_dataframes,block-wise operation,16,MB/s,0.23323845863342285,0.2531893253326416,0.22969865798950195,0.296630859375,0.037663081487243094,9.878302289851606,9.225355018118718,7.767229629629629,10.030533134874915,1.2650655295127862
assess_dataframes,block-wise operation,18,MB/s,0.2578003406524658,0.2579926649729411,0.25515222549438477,0.26102542877197266,0.002941321245316803,10.054292377736655,10.04766698117387,9.930067013755686,10.158641552029273,0.1144312098881094
assess_dataframes,block-wise operation,19,MB/s,0.2710469961166382,0.2710469961166382,0.26962828636169434,0.27246570587158203,0.0020063585765125996,10.09446700596715,10.09446700596715,10.0416307118281,10.147303300106199,0.07472180375697811
assess_dataframes,block-wise operation,20,MB/s,0.2910728454589844,0.29124244054158527,0.28600358963012695,0.29665088653564453,0.005325674109217798,9.894430363157412,9.890871872296017,9.70838157146026,10.069803682270383,0.18073733064455558
assess_dataframes,block-wise operation,22,MB/s,0.31299519538879395,0.3448172410329183,0.31053686141967773,0.4109196662902832,0.05725957404797091,10.12156111874113,9.344261553011195,7.709536096435091,10.201687443857363,1.4162805321607799
assess_dataframes,block-wise operation,26,MB/s,0.2208094596862793,0.24645304679870605,0.2175285816192627,0.30102109909057617,0.04728578315327834,16.955795305687467,15.53499767116375,12.437666367278275,17.211531340525504,2.6854135872152605
assess_dataframes,block-wise operation,28,MB/s,0.2290353775024414,0.22919845581054688,0.22636151313781738,0.23219847679138184,0.002921896999243647,17.6042672707059,17.593645843760623,17.364454994347533,17.81221526622844,0.22406902128915923
assess_dataframes,block-wise operation,30,MB/s,0.24526357650756836,0.2457575798034668,0.24395108222961426,0.24805808067321777,0.002097591117498669,17.613703842676752,17.579149454159836,17.41527624609417,17.708468273708593,0.14961916851960394
assess_dataframes,block-wise operation,32,MB/s,0.2623445987701416,0.26142168045043945,0.2577786445617676,0.2641417980194092,0.0032804365791774493,17.564684089560348,17.628553820790508,17.445175411660532,17.875801961150643,0.22230455057645485
assess_dataframes,block-wise operation,34,MB/s,0.2746732234954834,0.27672433853149414,0.27104997634887695,0.28444981575012207,0.006931394424140231,17.824817205309085,17.70002724884897,17.212174973953726,18.063089567284095,0.4389684626606283
assess_dataframes,block-wise operation,36,MB/s,0.36782002449035645,0.35387396812438965,0.2938230037689209,0.3999788761138916,0.05443470101371432,14.093849314438058,14.899269523702694,12.960684450055526,17.643274806614503,2.442987801229
assess_dataframes,block-wise operation,38,MB/s,0.3279918432235718,0.3684781789779663,0.2944307327270508,0.5234982967376709,0.10500851267492625,16.70568886088927,15.612287551549286,10.452756072178898,18.585016412239703,3.5868084126990616
assess_dataframes,block-wise operation,40,MB/s,0.3211829662322998,0.33522796630859375,0.31058716773986816,0.3739137649536133,0.03391918334844311,17.933703233296637,17.29461432086155,15.404621439156083,18.545518290131934,1.6651228890432082
assess_dataframes,block-wise operation,42,MB/s,0.43636441230773926,0.41640424728393555,0.3401463031768799,0.4727020263671875,0.06849497119102593,13.859975354119257,14.811696352242327,12.794529455437555,17.78058424717017,2.6257408935843665
assess_dataframes,create random dataframe,2,MB/s,0.06882882118225098,0.516547679901123,0.06629014015197754,1.4145240783691406,0.7776714090022452,4.184293658573759,2.910811070176482,0.20360204849396857,4.344537503461719,2.3458804397849256
assess_dataframes,create random dataframe,4,MB/s,0.10960721969604492,0.5510694980621338,0.1077723503112793,1.4358289241790771,0.7662246884977683,5.255128280758538,3.666963106212799,0.4011619979931265,5.344599039886733,2.8286204964649064
assess_dataframes,create random dataframe,6,MB/s,0.14983868598937988,0.5826863447825114,0.14245009422302246,1.4557702541351318,0.7561218700711635,5.766201126865446,4.14166114119361,0.5935002432875642,6.065282053427819,3.0764340831928174
assess_dataframes,create random dataframe,8,MB/s,0.20277690887451172,0.6151766777038574,0.19313931465148926,1.4496138095855713,0.7226598204569267,5.681120234024841,4.146807030068063,0.794694416114416,5.964606440064931,2.906473006880352
