collection,name,n,unit,duration_median,duration_mean,duration_min,duration_max,duration_std,rate_median,rate_mean,rate_min,rate_max,rate_std
assess_dataframes,block-wise operation,1,MB/s,0.03305673599243164,0.03367009162902832,0.03137493133544922,0.04058432579040527,0.0023109736223724,4.356287314435912,4.294521733321128,3.548167850407994,4.589651478768351,0.2678603260110744
assess_dataframes,block-wise operation,2,MB/s,0.03667044639587402,0.0364237387975057,0.03338742256164551,0.04041647911071777,0.0018086052584160488,7.853736904895918,7.9257756144862155,7.1258062636046695,8.626002784978255,0.3931801652785334
assess_dataframes,block-wise operation,4,MB/s,0.04417312145233154,0.04785938262939453,0.04008674621582031,0.13086342811584473,0.01604129851880025,13.039609447192833,12.582104273704061,4.401535312754494,14.368838939905789,1.7609183331773237
assess_dataframes,block-wise operation,6,MB/s,0.050522685050964355,0.056915028889973955,0.04534769058227539,0.24373269081115723,0.03540519953994869,17.101348083281774,16.720158285141654,3.5448671129201235,19.052789434390807,2.673329974494972
assess_dataframes,block-wise operation,8,MB/s,0.054323792457580566,0.05893959999084473,0.048433542251586914,0.13803362846374512,0.01662701785806371,21.20619435497327,20.355407921858152,8.345792346555431,23.785169253488885,3.1272292565176656
assess_dataframes,block-wise operation,10,MB/s,0.06139957904815674,0.06987438996632894,0.05334830284118652,0.15097403526306152,0.023384365229267345,23.45292989394147,21.8916125634917,9.538063929276994,26.992423813120364,4.116086393531509
assess_dataframes,block-wise operation,12,MB/s,0.06858015060424805,0.07728156248728434,0.055881500244140625,0.14635372161865234,0.02475130040814409,25.19710081261775,23.862796451840147,11.807010992877762,30.922577104239195,4.98863345899326
assess_dataframes,block-wise operation,14,MB/s,0.07183730602264404,0.07963681221008301,0.053870439529418945,0.16588926315307617,0.02759555035222017,28.063899655943487,27.124011915590515,12.152685241236581,37.42312143005723,5.652370160464096
assess_dataframes,block-wise operation,16,MB/s,0.07986295223236084,0.08986533482869466,0.06885027885437012,0.1957550048828125,0.03276171455487284,28.849847412733247,27.4914317091697,11.76981401512199,33.46391675294949,5.3617050873323535
assess_dataframes,block-wise operation,18,MB/s,0.0825575590133667,0.0885102351506551,0.06231069564819336,0.17560291290283203,0.023228096310009782,31.396879302189472,30.510033846265404,14.760575192931197,41.597994903386265,5.075035125316389
assess_dataframes,block-wise operation,20,MB/s,0.08967018127441406,0.1242138942082723,0.07294869422912598,0.4428982734680176,0.09099747090167644,32.12572697981532,28.854239782537658,6.502621871719645,39.47980194071948,9.087937812716971
assess_dataframes,block-wise operation,22,MB/s,0.09456288814544678,0.10956350962320964,0.08317947387695312,0.24254083633422852,0.039503597060115754,33.50258677142779,31.26492734973382,13.061717968327617,38.086319284567764,6.933890152808303
assess_dataframes,block-wise operation,24,MB/s,0.10391843318939209,0.13441709677378336,0.08423757553100586,0.4976077079772949,0.0778992562776006,33.25801909236705,29.802200035837917,6.9452300368259,41.02682179792708,8.702737898663317
assess_dataframes,block-wise operation,26,MB/s,0.10198700428009033,0.1310839573542277,0.08651590347290039,0.46942949295043945,0.07270821152407278,36.71060123475229,32.67012987583609,7.975638634182018,43.27528060979844,8.887958571702764
assess_dataframes,block-wise operation,28,MB/s,0.10560691356658936,0.12651290893554687,0.0897219181060791,0.4302661418914795,0.06617835801183143,38.18529725464826,35.615405123156556,9.370944184162507,44.93885201197914,8.076815985296296
assess_dataframes,block-wise operation,30,MB/s,0.1108170747756958,0.12416389783223471,0.09776043891906738,0.2318410873413086,0.03417699827406377,38.983186301047745,36.64358628499555,18.633452980835283,44.18965429949005,7.095903783015288
assess_dataframes,block-wise operation,32,MB/s,0.1126563549041748,0.14506988525390624,0.09993290901184082,0.5993649959564209,0.09353460143316848,40.903246369573715,36.788974651469,7.688136663114443,46.110936282801575,9.449668280538052
assess_dataframes,block-wise operation,34,MB/s,0.11663329601287842,0.13825763861338297,0.10057806968688965,0.25105929374694824,0.04121767094463312,41.97899870480221,37.85293571148268,19.501369285834347,48.67860374773323,8.620025641567208
assess_dataframes,block-wise operation,36,MB/s,0.12052798271179199,0.1628458817799886,0.1020650863647461,0.5747787952423096,0.11627972328035754,43.01076028200087,38.54303329435458,9.019121865507548,50.79111951636564,10.76351279060152
assess_dataframes,block-wise operation,38,MB/s,0.1262962818145752,0.1628171682357788,0.11134481430053711,0.5869455337524414,0.11558811491781931,43.32670007863993,40.160610151681134,9.322841192804697,49.14463268338851,10.45217077948479
assess_dataframes,block-wise operation,40,MB/s,0.13296401500701904,0.17395445505777996,0.11918520927429199,0.6500391960144043,0.11382797963349091,43.320212804151,39.03490952606437,8.861004129160795,48.32814436516176,10.506232653767258
assess_dataframes,block-wise operation,42,MB/s,0.13155651092529297,0.14178634484608968,0.11244940757751465,0.20878911018371582,0.02785619532824373,45.97309521367127,43.92746074435335,28.967027996231693,53.784187309576865,6.77106862881852
assess_dataframes,block-wise operation,44,MB/s,0.1378105878829956,0.17402574221293132,0.11768126487731934,0.7051641941070557,0.10626344179490799,45.976402074971304,41.34454570304829,8.985141408127268,53.84034584098981,10.018657265528487
assess_dataframes,block-wise operation,46,MB/s,0.14406442642211914,0.17707412242889403,0.12923955917358398,0.9206051826477051,0.14300078088485316,45.979460911448186,43.55273613606766,7.195266901440914,51.2536567159223,9.153311622857176
assess_dataframes,block-wise operation,48,MB/s,0.14939439296722412,0.21770910422007242,0.1259443759918213,0.8518919944763184,0.17401760494678062,46.267061960725286,40.401431020422734,8.1137046067078,54.881370808084824,12.529275418529224
