# Number of forked processes in sender: 2
# Number of forked processes in receiver: 2

# OSU MPI Multi-process Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1               0.57
2               0.53
4               0.47
8               0.44
16              0.46
32              0.43
64              0.41
128             0.45
256             0.48
512             0.54
1024            0.67
2048            0.77
4096            1.95
8192            2.24
16384           2.96
32768           4.08
65536           6.37
131072         10.97
262144         20.37
524288         41.02
1048576        93.11
2097152       221.99
4194304       513.01
# Number of forked processes in sender: 2
# Number of forked processes in receiver: 2

# OSU MPI Multi-process Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1               0.55
2               0.54
4               0.50
8               0.42
16              0.45
32              0.43
64              0.40
128             0.44
256             0.47
512             0.56
1024            0.65
2048            0.82
4096            2.00
8192            2.29
16384           3.00
32768           4.09
65536           6.45
131072         11.13
262144         20.40
524288         41.19
1048576        95.23
2097152       222.11
4194304       519.45
# Number of forked processes in sender: 2
# Number of forked processes in receiver: 2

# OSU MPI Multi-process Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1               0.39
2               0.39
4               0.39
8               0.39
16              0.41
32              0.38
64              0.37
128             0.42
256             0.45
512             0.59
1024            0.66
2048            0.77
4096            1.95
8192            2.28
16384           2.98
32768           4.09
65536           6.45
131072         11.13
262144         20.07
524288         40.58
1048576        91.88
2097152       221.68
4194304       512.81
# Number of forked processes in sender: 2
# Number of forked processes in receiver: 2

# OSU MPI Multi-process Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1               0.53
2               0.53
4               0.46
8               0.41
16              0.45
32              0.42
64              0.40
128             0.44
256             0.46
512             0.57
1024            0.66
2048            0.76
4096            2.01
8192            2.29
16384           2.99
32768           4.05
65536           6.34
131072         10.96
262144         20.45
524288         40.64
1048576        93.07
2097152       221.14
4194304       511.45
# Number of forked processes in sender: 2
# Number of forked processes in receiver: 2

# OSU MPI Multi-process Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1               0.55
2               0.53
4               0.47
8               0.41
16              0.45
32              0.42
64              0.40
128             0.43
256             0.47
512             0.56
1024            0.65
2048            0.80
4096            1.94
8192            2.21
16384           2.91
32768           4.01
65536           6.36
131072         11.07
262144         20.32
524288         40.58
1048576        91.79
2097152       221.51
4194304       506.39
# Number of forked processes in sender: 2
# Number of forked processes in receiver: 2

# OSU MPI Multi-process Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1               0.54
2               0.53
4               0.50
8               0.43
16              0.46
32              0.43
64              0.41
128             0.44
256             0.47
512             0.54
1024            0.64
2048            0.73
4096            1.94
8192            2.23
16384           2.93
32768           4.01
65536           6.31
